review_id,employee_id,year,performance_rating,manager_rating,promotion_recommended
143,4972,2019,7,2,0
144,147,2018,3,2,1
145,1010,2020,5,6,1
146,225,2023,8,6,1
147,4156,2021,4,9,1
148,2726,2022,7,9,1
149,1817,2021,9,6,1
150,3099,2018,2,1,1
151,3128,2021,5,3,0
152,25,2022,1,2,1
153,4886,2024,6,7,0
154,3741,2022,7,1,0
155,3935,2020,6,4,1
156,999,2021,6,1,1
157,2329,2020,6,3,0
158,2327,2019,8,4,1
159,4434,2020,9,6,1
160,3831,2019,4,1,1
161,1210,2019,3,1,1
162,106,2019,7,6,1
163,3631,2018,8,9,0
164,2046,2023,3,6,0
165,1300,2022,6,2,0
166,1116,2019,7,2,0
167,3941,2023,7,2,1
168,1456,2021,2,5,1
169,586,2018,8,1,1
170,4976,2019,6,5,0
171,687,2019,6,8,0
172,2324,2022,3,9,1
173,781,2018,6,7,1
174,3410,2018,9,2,1
175,4593,2023,6,5,1
176,1368,2020,4,4,1
177,1680,2021,9,3,0
178,2941,2022,6,7,0
179,2151,2023,6,2,1
180,3612,2020,8,4,0
181,3522,2020,2,8,0
182,2337,2021,2,2,0
183,3611,2023,5,5,1
184,1054,2024,9,6,0
185,4180,2022,1,7,1
186,4952,2023,1,8,0
187,3635,2023,2,2,1
188,250,2021,4,7,0
189,3713,2022,7,9,1
190,4646,2024,3,8,0
191,4711,2019,3,2,0
192,942,2023,6,9,1
193,4928,2018,3,7,1
194,1424,2019,7,9,1
195,2821,2019,7,6,0
196,2437,2019,4,8,1
197,3699,2021,5,3,1
198,847,2022,5,7,0
199,2195,2019,1,5,1
200,4671,2018,3,5,1
201,3306,2019,5,7,1
202,1199,2020,5,1,1
203,219,2020,6,2,1
204,3091,2021,1,5,1
205,375,2023,6,6,1
206,41,2023,5,6,0
207,4955,2018,9,6,0
208,3365,2021,4,7,0
209,4461,2024,6,2,1
210,2699,2021,7,9,0
211,4043,2024,2,3,0
212,1144,2021,6,9,0
213,2350,2023,5,8,0
214,3122,2019,8,1,1
215,493,2022,6,7,0
216,4348,2022,4,6,0
217,2564,2018,1,9,1
218,3512,2019,3,4,1
219,496,2023,3,2,1
220,4935,2022,9,5,0
221,4650,2020,6,5,1
222,2530,2023,7,2,1
223,3401,2023,7,2,1
224,253,2021,2,8,0
225,1799,2023,2,9,1
226,4263,2022,5,1,1
227,4348,2023,2,6,1
228,1808,2021,4,6,0
229,256,2019,1,7,0
230,3602,2024,9,6,0
231,1095,2022,8,1,0
232,2942,2021,2,6,0
233,4282,2022,9,4,0
234,921,2022,7,1,0
235,4951,2018,9,6,1
236,161,2023,4,3,0
237,1260,2018,4,4,0
238,2210,2019,2,8,0
239,275,2021,5,8,1
240,1528,2023,2,3,1
241,1761,2018,7,4,0
242,3084,2018,4,3,1
243,3278,2019,9,8,1
244,333,2020,7,3,0
245,2634,2020,2,3,1
246,2935,2022,8,6,0
247,4508,2019,9,3,0
248,3925,2021,6,5,1
249,2781,2023,4,4,0
250,4879,2018,6,1,1
251,368,2024,3,7,1
252,4057,2024,4,6,0
253,1964,2020,7,1,0
254,1936,2018,5,4,1
255,1421,2022,7,9,1
256,1395,2024,8,7,1
257,1836,2018,8,3,0
258,3082,2019,4,7,1
259,3715,2021,4,1,0
260,1709,2024,3,5,0
261,1260,2018,2,1,1
262,3530,2023,1,4,0
263,2970,2023,4,2,1
264,1669,2021,5,2,0
265,1590,2024,5,6,0
266,3556,2023,4,8,0
267,621,2019,4,9,0
268,4176,2022,2,6,1
269,1081,2019,8,3,1
270,3907,2020,2,3,0
271,4423,2024,5,3,1
272,2480,2022,9,3,1
273,4517,2018,5,9,1
274,2119,2021,1,4,1
275,150,2022,9,7,1
276,3594,2024,9,2,0
277,4206,2022,1,7,1
278,1642,2024,3,7,1
279,208,2020,9,4,1
280,2231,2018,2,4,1
281,2368,2023,2,5,0
282,3206,2022,7,1,1
283,3078,2020,7,6,0
284,2995,2021,4,7,0
285,2339,2021,5,4,0
286,552,2023,9,8,1
287,3185,2018,6,7,1
288,3843,2023,2,1,0
289,4742,2024,7,9,0
290,2077,2018,5,9,1
291,1244,2018,9,1,0
292,2231,2021,2,8,0
293,3418,2019,7,1,1
294,2132,2018,5,8,0
295,2448,2019,1,1,1
296,3277,2019,1,2,1
297,2720,2024,1,3,0
298,4011,2018,5,4,1
299,584,2019,1,1,0
300,2340,2019,9,8,0
301,2292,2019,9,7,0
302,4875,2023,8,2,1
303,2829,2020,5,9,0
304,2926,2022,9,4,1
305,2421,2018,2,6,0
306,2547,2020,3,9,0
307,1949,2018,3,1,0
308,3257,2024,4,3,1
309,2730,2022,2,6,1
310,1567,2019,4,7,1
311,2417,2020,1,9,0
312,2422,2018,7,4,1
313,379,2019,5,7,0
314,689,2021,4,7,0
315,3805,2020,2,8,1
316,87,2023,8,5,0
317,3695,2020,3,2,0
318,1500,2024,5,3,1
319,1754,2021,3,1,1
320,1623,2024,7,7,0
321,4199,2019,4,7,0
322,132,2022,9,1,1
323,1465,2021,1,8,0
324,552,2021,5,4,1
325,1933,2018,5,8,0
326,921,2020,7,9,0
327,1031,2024,1,1,0
328,478,2022,8,8,0
329,1643,2022,7,2,0
330,4649,2022,8,4,0
331,1760,2020,1,4,1
332,3109,2022,3,2,1
333,3997,2018,6,1,1
334,2265,2019,7,2,1
335,3658,2024,3,4,1
336,2579,2018,9,2,1
337,316,2019,5,7,0
338,2269,2023,7,1,1
339,3973,2020,7,4,0
340,4838,2021,5,8,1
341,2147,2021,4,8,1
342,452,2022,9,1,1
343,3995,2022,4,5,1
344,4185,2020,7,9,0
345,1064,2021,2,5,0
346,1284,2019,8,5,1
347,4004,2020,4,6,0
348,1931,2021,5,8,0
349,2874,2019,5,7,0
350,2834,2022,1,7,1
351,1143,2024,4,7,1
352,4338,2024,7,1,0
353,279,2022,4,2,1
354,3436,2021,2,5,1
355,111,2019,5,5,1
356,3597,2023,7,4,0
357,3770,2020,4,8,0
358,1515,2021,6,8,0
359,734,2021,4,8,1
360,1966,2023,3,9,0
361,1935,2023,1,7,0
362,584,2018,8,7,0
363,326,2023,6,8,1
364,2808,2018,3,4,0
365,857,2023,1,8,0
366,4536,2018,4,2,0
367,3156,2024,4,4,0
368,4778,2024,8,1,1
369,1108,2021,6,5,0
370,2393,2024,3,7,0
371,2693,2019,5,4,0
372,263,2020,6,2,0
373,2607,2020,5,4,0
374,1692,2022,2,6,1
375,2513,2021,6,9,1
376,3538,2018,8,5,0
377,3156,2020,8,9,1
378,954,2024,6,3,1
379,2434,2019,3,3,1
380,237,2019,8,4,1
381,2710,2021,1,7,0
382,4626,2023,7,7,0
383,1352,2019,8,2,1
384,3979,2022,5,4,1
385,3455,2021,4,8,1
386,4757,2021,5,4,1
387,666,2023,1,8,1
388,3515,2024,6,6,1
389,4588,2022,5,5,1
390,123,2022,5,9,1
391,4952,2023,5,2,1
392,4208,2019,9,8,1
393,4335,2018,9,9,1
394,354,2020,8,8,0
395,4494,2024,9,5,1
396,4507,2021,5,8,0
397,2871,2021,2,2,0
398,177,2020,2,9,0
399,3189,2019,8,2,1
400,2969,2024,3,1,0
401,2248,2020,1,5,0
402,2632,2018,2,7,1
403,4564,2019,6,4,0
404,2346,2021,7,3,1
405,4477,2020,6,4,0
406,3154,2020,1,2,0
407,3008,2019,1,1,0
408,545,2021,6,6,0
409,3522,2020,7,3,0
410,2950,2022,1,6,1
411,2439,2020,8,1,0
412,2351,2024,5,6,1
413,2627,2020,3,2,0
414,2527,2018,6,7,1
415,935,2018,5,5,0
416,886,2024,6,6,1
417,4750,2020,1,3,0
418,788,2020,6,7,1
419,914,2018,1,5,0
420,3932,2022,5,7,1
421,4219,2021,5,4,1
422,2854,2019,6,2,1
423,1175,2020,8,4,0
424,1725,2021,7,2,1
425,4282,2020,7,4,1
426,3360,2018,8,1,0
427,4175,2023,7,7,1
428,486,2020,5,4,1
429,3979,2024,9,6,1
430,3696,2021,4,9,1
431,720,2023,4,5,0
432,1254,2019,9,2,1
433,3879,2018,7,2,1
434,556,2022,1,9,0
435,371,2020,3,5,1
436,1503,2019,6,8,0
437,3653,2021,6,5,1
438,1540,2023,1,2,0
439,474,2018,9,4,0
440,878,2024,7,4,1
441,1994,2019,6,7,0
442,1755,2024,4,5,1
443,2311,2022,1,9,1
444,564,2020,9,1,1
445,1186,2018,5,7,0
446,3356,2024,9,8,1
447,3555,2019,7,8,1
448,1541,2024,4,7,1
449,3215,2021,2,8,1
450,3489,2021,8,1,1
451,2076,2023,9,7,0
452,1876,2023,1,6,0
453,3100,2023,7,2,0
454,3445,2022,4,4,0
455,591,2023,8,8,1
456,725,2020,1,1,0
457,2424,2022,2,5,1
458,2979,2019,7,4,1
459,4416,2023,6,3,1
460,4548,2018,1,1,1
461,4123,2018,6,6,1
462,941,2019,7,2,1
463,687,2018,7,5,1
464,2741,2023,8,9,1
465,4930,2019,6,1,1
466,937,2023,2,7,0
467,4905,2022,7,3,0
468,1327,2020,1,1,1
469,4141,2021,1,7,1
470,1117,2021,6,7,1
471,2113,2024,6,6,1
472,4268,2021,1,9,1
473,3582,2018,8,2,0
474,757,2022,9,6,0
475,2849,2024,8,2,1
476,1476,2022,1,2,0
477,922,2021,8,7,0
478,327,2024,5,4,0
479,720,2023,6,8,0
480,1971,2022,3,5,0
481,933,2019,7,7,1
482,907,2021,9,2,1
483,2464,2021,3,2,0
484,3397,2020,3,3,1
485,834,2021,8,5,0
486,3834,2018,1,8,0
487,1165,2023,1,9,0
488,4871,2019,2,8,0
489,35,2022,1,2,0
490,2323,2023,6,5,0
491,4706,2018,9,3,1
492,4770,2019,8,4,1
493,3014,2023,3,3,1
494,1754,2023,1,3,0
495,3991,2020,6,2,0
496,191,2021,7,3,1
497,1290,2022,2,8,0
498,1828,2023,9,8,1
499,3038,2021,4,5,0
500,4711,2018,7,9,1
501,2036,2021,2,1,1
502,2977,2019,2,1,1
503,457,2021,6,7,1
504,639,2021,2,3,0
505,1697,2020,3,7,0
506,2935,2024,9,5,1
507,71,2021,7,1,1
508,1993,2020,5,5,1
509,4285,2024,8,1,1
510,2960,2018,4,1,0
511,4288,2024,7,6,0
512,188,2020,7,1,0
513,3598,2020,9,6,1
514,4526,2024,7,3,1
515,2013,2024,2,7,1
516,4005,2018,3,2,1
517,4582,2020,9,7,1
518,3283,2024,4,5,1
519,2950,2021,4,1,1
520,3653,2024,9,7,0
521,2315,2018,6,7,1
522,4295,2018,9,4,1
523,3210,2020,9,9,0
524,3944,2020,3,7,0
525,2017,2019,6,8,1
526,635,2018,6,6,0
527,2251,2022,4,5,1
528,4690,2021,1,2,0
529,1923,2023,3,1,1
530,1331,2023,7,7,0
531,4186,2020,7,3,0
532,1427,2024,7,3,0
533,3851,2023,9,6,1
534,581,2018,1,9,1
535,537,2018,2,4,0
536,2221,2024,3,6,1
537,3127,2021,2,9,0
538,192,2018,2,5,1
539,2650,2022,3,6,0
540,1667,2019,7,6,1
541,36,2024,5,7,1
542,120,2021,9,5,1
543,2529,2022,8,4,1
544,3668,2018,2,8,0
545,4691,2024,5,8,0
546,3112,2018,1,4,0
547,1349,2020,3,5,1
548,800,2021,5,4,0
549,4850,2019,9,1,1
550,2478,2020,9,2,1
551,4744,2023,3,9,1
552,611,2018,6,1,0
553,4140,2019,6,6,1
554,3569,2021,9,2,1
555,4292,2022,6,3,1
556,2850,2019,3,7,1
557,2163,2020,7,8,1
558,4315,2022,1,8,1
559,3058,2022,3,8,1
560,4309,2019,3,4,0
561,4313,2024,1,7,0
562,216,2024,1,8,0
563,327,2023,8,3,0
564,4716,2019,8,5,1
565,3260,2020,9,1,1
566,1705,2019,6,5,0
567,4176,2021,8,7,0
568,4090,2024,4,7,0
569,4239,2022,5,6,1
570,3106,2022,8,2,0
571,2802,2020,2,8,0
572,1477,2019,4,5,0
573,3924,2023,1,3,1
574,2022,2019,8,9,0
575,1061,2022,2,8,0
576,3574,2022,2,7,1
577,1161,2020,5,5,0
578,634,2024,1,7,1
579,2085,2019,6,8,0
580,905,2018,8,8,0
581,1939,2024,7,8,0
582,1895,2019,6,9,1
583,4044,2020,1,6,1
584,3136,2022,9,7,0
585,2700,2022,7,9,1
586,4624,2018,3,3,1
587,3689,2018,4,6,1
588,2435,2020,3,4,1
589,2696,2019,4,2,0
590,82,2022,1,5,1
591,4682,2023,3,4,0
592,1244,2021,5,4,1
593,4855,2021,5,8,0
594,4851,2021,9,3,1
595,317,2022,5,7,0
596,961,2024,1,5,0
597,2270,2022,5,4,1
598,4474,2024,7,3,0
599,4719,2021,4,3,0
600,233,2018,7,7,0
601,3854,2021,2,5,1
602,3313,2018,2,5,0
603,4824,2020,7,7,0
604,3412,2023,3,8,1
605,2849,2021,7,6,1
606,2508,2023,3,8,1
607,2680,2021,6,3,0
608,4981,2018,7,7,1
609,2373,2018,5,2,1
610,3600,2023,7,7,0
611,4905,2024,4,8,1
612,2414,2018,1,3,0
613,91,2020,8,5,0
614,4110,2021,2,4,0
615,29,2023,9,2,1
616,4231,2018,6,2,1
617,428,2023,5,5,0
618,2613,2023,6,5,1
619,2530,2020,1,2,0
620,2378,2024,4,8,1
621,2607,2020,6,1,1
622,3472,2024,6,3,1
623,4143,2022,6,2,1
624,4864,2018,7,6,0
625,421,2018,9,7,0
626,791,2024,9,6,0
627,4088,2023,3,4,1
628,4608,2018,4,2,0
629,1983,2024,1,4,1
630,2946,2022,1,9,1
631,342,2018,4,2,0
632,2026,2018,6,7,0
633,772,2020,3,4,1
634,4193,2018,5,3,1
635,3070,2021,9,9,0
636,3222,2019,1,3,0
637,697,2018,1,5,0
638,1740,2020,2,9,1
639,1940,2024,6,3,0
640,2217,2022,9,9,0
641,3863,2022,8,6,0
642,1491,2023,5,7,1
643,4385,2023,8,8,0
644,2501,2019,5,5,1
645,3519,2020,3,2,1
646,1333,2018,7,7,0
647,4467,2022,6,7,1
648,789,2022,7,2,0
649,832,2021,5,7,1
650,3360,2024,8,3,0
651,3264,2019,8,6,1
652,3497,2021,5,9,1
653,4563,2024,7,4,0
654,406,2024,4,1,0
655,1124,2022,7,4,0
656,3225,2024,6,3,0
657,3556,2023,2,5,1
658,2125,2018,2,7,0
659,2144,2018,7,8,1
660,2290,2021,7,3,0
661,3091,2018,3,5,0
662,2784,2019,3,8,1
663,1074,2021,2,7,1
664,3736,2020,6,5,1
665,3133,2018,6,8,0
666,1360,2024,9,6,0
667,357,2018,6,7,0
668,72,2023,8,3,1
669,1459,2024,5,2,0
670,1458,2020,8,2,1
671,3129,2024,2,2,0
672,2303,2019,9,2,0
673,4874,2021,6,7,0
674,709,2021,5,1,0
675,2605,2023,2,4,0
676,4278,2019,1,7,0
677,2674,2023,3,2,1
678,1291,2021,8,9,0
679,225,2018,7,5,1
680,1117,2024,9,1,1
681,3906,2019,7,2,0
682,4845,2018,5,1,1
683,937,2024,1,5,0
684,2359,2018,4,8,1
685,4085,2023,5,7,0
686,3241,2018,9,3,0
687,2520,2020,5,5,0
688,1594,2019,9,6,1
689,3495,2023,5,2,1
690,2261,2018,9,2,1
691,584,2024,6,6,1
692,4405,2019,1,2,1
693,3181,2022,4,7,0
694,587,2024,3,5,0
695,4597,2023,9,6,0
696,78,2023,1,2,1
697,512,2018,7,2,0
698,3184,2021,1,2,1
699,2841,2022,6,5,1
700,1562,2021,2,6,0
701,2598,2024,7,4,1
702,1580,2022,2,7,1
703,4909,2023,3,6,1
704,4962,2023,5,8,1
705,1396,2020,5,2,1
706,1524,2020,6,4,0
707,3125,2024,7,4,0
708,737,2022,7,2,0
709,1631,2023,1,6,1
710,268,2022,6,1,0
711,1478,2019,1,8,1
712,2443,2020,6,8,1
713,4351,2023,9,9,0
714,1818,2019,4,9,1
715,169,2024,2,7,1
716,1928,2021,4,7,1
717,4960,2020,7,6,1
718,369,2019,3,4,0
719,2181,2018,6,6,1
720,2014,2021,2,2,1
721,1414,2024,2,1,0
722,3094,2020,1,8,1
723,3821,2018,2,8,0
724,147,2022,7,9,0
725,3843,2018,5,9,0
726,2600,2022,4,8,0
727,3278,2024,7,6,0
728,3119,2022,9,7,1
729,3968,2022,8,4,1
730,1384,2022,2,8,0
731,1917,2021,1,1,1
732,3496,2023,9,8,0
733,3927,2024,3,2,1
734,3483,2024,9,7,0
735,1509,2022,7,8,0
736,2540,2024,6,4,0
737,1622,2022,3,4,0
738,4598,2024,3,7,1
739,1885,2022,1,7,1
740,335,2020,5,9,0
741,281,2023,5,3,1
742,1451,2019,1,8,0
743,4151,2018,7,4,0
744,585,2018,8,5,0
745,1497,2024,2,7,1
746,1265,2019,8,4,1
747,3100,2021,1,1,1
748,4951,2022,1,8,0
749,1437,2024,5,1,1
750,2516,2023,8,1,1
751,4515,2023,9,5,1
752,1409,2020,7,1,0
753,4120,2024,8,8,1
754,4829,2024,5,3,1
755,857,2018,6,5,1
756,403,2019,7,4,1
757,4769,2022,9,3,0
758,4200,2024,3,9,1
759,2391,2018,7,2,1
760,2743,2024,1,8,0
761,4148,2018,9,3,1
762,4465,2018,6,6,1
763,3815,2024,3,2,0
764,4707,2022,2,4,1
765,1244,2024,5,4,1
766,624,2021,3,2,0
767,4675,2019,2,4,0
768,2476,2023,2,3,0
769,4850,2023,2,2,1
770,1292,2023,5,2,1
771,3323,2019,3,2,0
772,1018,2018,6,5,1
773,2504,2023,3,5,0
774,1826,2023,5,8,0
775,4086,2021,8,2,1
776,3014,2021,8,8,0
777,431,2022,4,6,0
778,2081,2019,7,3,1
779,2859,2023,1,5,1
780,2828,2018,2,4,1
781,535,2018,1,5,0
782,3820,2021,4,6,1
783,4606,2024,6,4,1
784,4057,2024,2,8,0
785,127,2020,2,2,0
786,4198,2022,7,4,1
787,1252,2021,8,9,0
788,2928,2024,2,2,1
789,974,2022,8,2,0
790,2347,2021,4,1,1
791,4661,2021,6,1,0
792,2826,2023,2,8,1
793,3820,2021,9,3,0
794,1480,2020,8,1,0
795,194,2019,4,2,0
796,3582,2018,3,4,1
797,4888,2022,1,4,1
798,1094,2021,5,7,0
799,1950,2018,3,7,0
800,1248,2021,4,9,0
801,632,2019,2,9,0
802,3660,2019,9,5,0
803,2249,2019,4,8,1
804,3174,2021,4,8,1
805,4300,2024,5,2,0
806,4684,2018,8,1,1
807,1333,2019,8,7,1
808,2094,2024,5,6,0
809,183,2023,4,5,0
810,146,2022,7,4,1
811,4369,2020,3,5,0
812,2984,2020,1,2,1
813,4773,2020,3,5,1
814,2591,2020,7,7,0
815,224,2020,6,1,0
816,1908,2020,1,2,0
817,3045,2021,2,3,0
818,1333,2018,3,9,0
819,1194,2022,5,8,1
820,484,2024,9,1,1
821,3843,2018,8,9,1
822,4824,2022,1,7,1
823,346,2019,8,9,0
824,3284,2023,4,5,1
825,2912,2023,5,5,0
826,904,2024,5,1,1
827,4533,2023,3,7,1
828,3109,2022,8,8,1
829,4325,2021,3,1,0
830,2630,2019,1,5,1
831,3488,2024,5,7,0
832,3502,2020,8,3,1
833,4433,2021,6,2,1
834,1853,2021,5,1,0
835,2998,2018,1,3,1
836,2530,2018,3,8,0
837,1763,2019,3,3,1
838,2966,2021,9,3,0
839,2022,2023,8,4,1
840,1730,2019,9,3,0
841,1504,2020,2,3,1
842,626,2023,9,3,1
843,3095,2023,8,2,1
844,653,2018,3,4,0
845,284,2021,8,3,0
846,3216,2020,5,9,0
847,956,2021,9,4,0
848,4593,2020,2,5,0
849,152,2022,1,6,1
850,836,2020,2,5,0
851,96,2022,2,7,0
852,1562,2018,6,5,1
853,1451,2022,9,1,0
854,80,2019,9,8,1
855,1,2023,6,8,1
856,849,2020,3,4,0
857,3600,2018,4,6,1
858,1247,2023,5,1,0
859,3941,2021,2,9,0
860,400,2020,9,6,1
861,3694,2020,1,7,1
862,3115,2022,1,1,1
863,675,2022,5,4,0
864,4723,2020,4,7,0
865,3874,2024,6,4,1
866,4153,2020,9,1,1
867,597,2019,1,3,1
868,4365,2021,1,5,0
869,711,2019,7,3,0
870,4637,2024,3,6,0
871,3223,2024,3,8,0
872,702,2024,9,7,1
873,1618,2019,5,7,0
874,3262,2021,7,3,1
875,3973,2018,6,9,1
876,2840,2021,1,4,1
877,1789,2018,4,8,0
878,2209,2020,8,3,0
879,778,2023,7,1,0
880,4629,2019,5,3,0
881,286,2020,5,9,0
882,2740,2024,9,2,1
883,1421,2024,9,3,0
884,946,2019,6,9,0
885,1670,2022,9,6,1
886,2213,2019,7,7,1
887,1356,2019,6,6,1
888,2821,2019,2,5,0
889,3652,2018,3,1,1
890,2431,2022,9,1,1
891,1700,2018,1,7,1
892,1883,2024,7,7,0
893,1870,2021,1,9,0
894,4947,2021,7,9,1
895,1150,2022,8,3,0
896,113,2024,3,5,1
897,4833,2021,2,1,0
898,201,2020,5,7,0
899,1616,2018,3,7,0
900,3645,2024,7,9,0
901,980,2019,2,9,1
902,855,2020,7,1,1
903,550,2019,2,5,1
904,4849,2021,7,4,0
905,3136,2024,7,4,1
906,2670,2024,4,6,0
907,50,2018,3,6,1
908,2852,2021,9,9,1
909,3334,2023,1,3,0
910,1205,2023,4,9,0
911,1523,2018,4,3,0
912,2508,2019,8,6,0
913,4411,2019,4,7,0
914,823,2023,5,6,0
915,2454,2019,4,8,0
916,3664,2022,1,6,1
917,1688,2021,8,3,1
918,3594,2022,2,2,1
919,4746,2020,5,3,0
920,4154,2022,2,2,1
921,2522,2024,5,4,1
922,3712,2019,4,5,1
923,147,2018,6,3,1
924,1617,2021,3,1,1
925,4704,2021,6,1,1
926,423,2021,2,2,1
927,4966,2020,3,8,0
928,4095,2021,2,7,0
929,4097,2024,5,7,1
930,3022,2023,5,2,0
931,4204,2020,8,3,0
932,3863,2019,6,1,1
933,3475,2018,7,7,0
934,2834,2019,9,6,1
935,4790,2022,4,1,0
936,3217,2021,6,5,0
937,3930,2022,7,2,0
938,1694,2020,3,6,1
939,994,2019,8,3,1
940,4634,2021,4,2,1
941,1991,2023,4,3,0
942,4549,2020,2,2,1
943,21,2019,9,3,0
944,4360,2019,9,5,0
945,669,2020,5,8,1
946,4256,2018,8,9,1
947,4544,2019,8,5,1
948,984,2021,1,6,0
949,4773,2022,3,2,1
950,3720,2024,2,2,0
951,2490,2020,5,1,0
952,6,2018,3,9,1
953,356,2019,7,8,1
954,403,2022,2,2,0
955,4073,2023,3,2,0
956,3941,2018,7,1,1
957,2450,2020,3,7,1
958,1625,2019,3,9,0
959,2984,2023,5,5,1
960,60,2019,1,7,0
961,578,2024,3,1,0
962,1686,2024,2,3,0
963,1902,2023,2,3,1
964,1057,2020,3,4,0
965,1300,2022,2,1,0
966,1698,2022,3,5,1
967,867,2021,5,9,0
968,1383,2024,7,9,0
969,949,2024,4,6,1
970,3132,2019,7,7,1
971,66,2020,5,5,1
972,1308,2019,9,8,1
973,4563,2021,4,1,1
974,1720,2021,3,1,1
975,2059,2018,2,8,1
976,171,2019,4,5,1
977,764,2020,2,4,0
978,176,2018,4,7,0
979,1722,2023,3,3,1
980,2745,2020,9,9,0
981,3726,2024,5,7,0
982,998,2021,3,1,1
983,1880,2024,7,2,1
984,4090,2022,2,5,1
985,3254,2024,6,2,0
986,4738,2022,1,2,1
987,3114,2020,8,6,0
988,2292,2020,6,6,1
989,2662,2022,8,9,0
990,2697,2018,4,6,1
991,33,2022,3,2,0
992,2425,2021,4,1,1
993,2372,2019,7,6,1
994,448,2020,6,5,0
995,2913,2018,9,8,0
996,3263,2023,7,5,1
997,2440,2021,3,8,0
998,827,2019,5,2,0
999,2408,2018,8,6,1
1000,4236,2020,5,6,0
1001,1680,2018,5,6,0
1002,4674,2021,3,7,1
1003,3183,2022,4,2,0
1004,2731,2020,9,5,0
1005,4206,2019,9,7,1
1006,2243,2023,3,3,0
1007,3055,2024,5,5,0
1008,2633,2020,8,6,1
1009,1009,2021,5,3,0
1010,2439,2024,7,8,1
