employee_id,name,department,role,gender,ethnicity,date_joined,seniority_level,skills,education_level,salary,performance_score
34,Employee_34,Operations,Finance Associate,Female,Mixed,2021-04-14 20:55:40,Senior,Leadership,PhD,74040,5
35,Employee_35,Operations,Software Engineer,Female,Asian,2021-10-07 11:37:11,Senior,Leadership,Diploma,43419,7
36,Employee_36,Sales,Marketing Exec,Female,Mixed,2024-11-27 10:13:58,Junior,Cloud,Master's,70850,7
37,Employee_37,Engineering,Sales Rep,Female,Asian,2022-01-10 09:51:24,Junior,Excel,Bachelor's,139838,2
38,Employee_38,Finance,Sales Rep,Other,Hispanic,2018-07-08 15:13:39,Mid,JavaScript,Master's,27293,6
39,Employee_39,Sales,Data Analyst,Non-Binary,White,2019-01-26 04:47:30,Lead,Leadership,Master's,67041,1
40,Employee_40,Sales,Software Engineer,Male,Hispanic,2021-09-23 13:04:48,Lead,Cloud,Diploma,101484,1
41,Employee_41,Engineering,Finance Associate,Other,White,2019-05-06 08:00:47,Lead,Leadership,Master's,132002,2
42,Employee_42,HR,Sales Rep,Female,Other,2019-07-29 09:17:06,Mid,JavaScript,Bachelor's,121496,5
43,Employee_43,Finance,HR Manager,Female,Asian,2023-04-24 03:55:42,Senior,Communication,Diploma,110687,2
44,Employee_44,Sales,HR Manager,Other,White,2020-11-12 06:49:37,Junior,Python,Diploma,132611,3
45,Employee_45,Sales,Data Analyst,Female,Hispanic,2021-03-26 23:19:16,Junior,ML,Diploma,32780,9
46,Employee_46,Engineering,Data Analyst,Male,Hispanic,2021-06-05 07:49:33,Mid,Excel,Diploma,83973,5
47,Employee_47,HR,Marketing Exec,Male,Hispanic,2024-11-01 13:17:03,Lead,JavaScript,Bachelor's,59732,3
48,Employee_48,HR,Software Engineer,Male,Mixed,2019-03-07 20:00:48,Lead,ML,Bachelor's,63812,5
49,Employee_49,Marketing,Data Analyst,Other,Hispanic,2024-04-04 17:16:19,Junior,ML,Bachelor's,147253,3
50,Employee_50,Marketing,Marketing Exec,Female,Mixed,2024-07-01 02:37:27,Senior,ML,PhD,119599,5
51,Employee_51,Sales,Marketing Exec,Other,Black,2024-12-31 02:41:44,Junior,ML,Bachelor's,78293,6
52,Employee_52,Sales,Marketing Exec,Male,Asian,2019-02-12 08:27:27,Senior,Communication,Master's,49730,9
53,Employee_53,Operations,Sales Rep,Other,Black,2022-09-14 23:51:12,Senior,Cloud,Diploma,101869,2
54,Employee_54,Finance,Sales Rep,Female,Black,2019-11-24 12:21:41,Senior,Cloud,Master's,37166,3
55,Employee_55,Engineering,Finance Associate,Female,Mixed,2022-11-14 12:20:36,Senior,JavaScript,Bachelor's,144294,6
56,Employee_56,Operations,Data Analyst,Non-Binary,Mixed,2023-01-13 23:44:27,Lead,Leadership,PhD,53953,2
57,Employee_57,Finance,Sales Rep,Non-Binary,Asian,2018-09-22 11:46:24,Junior,ML,PhD,63313,8
58,Employee_58,Sales,HR Manager,Non-Binary,Asian,2018-06-21 15:44:49,Junior,Leadership,Diploma,41413,7
59,Employee_59,Marketing,Marketing Exec,Male,Other,2022-10-30 20:14:23,Senior,ML,Bachelor's,107640,1
60,Employee_60,Engineering,HR Manager,Non-Binary,Asian,2020-03-17 10:04:06,Mid,Python,PhD,72365,5
61,Employee_61,HR,Finance Associate,Male,Hispanic,2019-07-07 06:28:44,Lead,JavaScript,Master's,149226,5
62,Employee_62,HR,Software Engineer,Other,Hispanic,2023-03-23 08:43:42,Mid,Leadership,PhD,137722,1
63,Employee_63,Operations,Finance Associate,Female,Asian,2020-09-06 17:43:33,Senior,Cloud,Diploma,57210,6
64,Employee_64,Operations,Finance Associate,Other,Mixed,2020-11-15 20:09:04,Senior,Excel,PhD,68957,2
65,Employee_65,Engineering,Data Analyst,Non-Binary,Black,2023-10-13 04:15:56,Mid,ML,Bachelor's,77439,3
66,Employee_66,HR,Marketing Exec,Non-Binary,Asian,2020-10-27 02:11:59,Junior,Communication,Master's,61571,5
67,Employee_67,Operations,Finance Associate,Male,Other,2020-10-12 21:06:24,Junior,Cloud,Diploma,55498,6
68,Employee_68,HR,Marketing Exec,Male,Asian,2024-06-29 21:32:51,Mid,ML,Diploma,47562,2
69,Employee_69,Marketing,HR Manager,Other,Black,2019-06-12 14:52:14,Senior,ML,PhD,43436,4
70,Employee_70,Operations,Software Engineer,Other,White,2019-12-29 12:01:25,Lead,Cloud,Diploma,52493,3
71,Employee_71,Sales,Software Engineer,Non-Binary,Asian,2024-08-11 03:39:00,Senior,ML,PhD,144813,1
72,Employee_72,Finance,HR Manager,Male,Asian,2021-10-11 05:23:31,Junior,JavaScript,Master's,42654,4
73,Employee_73,Operations,Data Analyst,Male,Hispanic,2021-10-26 17:33:21,Junior,JavaScript,PhD,108036,6
74,Employee_74,Marketing,HR Manager,Other,Black,2023-08-07 16:09:58,Senior,ML,Diploma,59582,7
75,Employee_75,Engineering,Sales Rep,Male,Other,2021-04-27 04:58:19,Junior,Communication,Master's,47508,6
76,Employee_76,HR,HR Manager,Other,Asian,2023-11-27 11:18:39,Mid,Excel,PhD,111330,1
77,Employee_77,Sales,Sales Rep,Female,Other,2022-10-29 12:52:21,Mid,Leadership,Diploma,44645,5
78,Employee_78,Engineering,Data Analyst,Non-Binary,Asian,2023-05-18 02:05:03,Junior,Python,Diploma,131340,5
79,Employee_79,Operations,Data Analyst,Male,White,2018-09-20 16:34:14,Senior,Excel,Bachelor's,111559,6
80,Employee_80,Finance,Finance Associate,Male,Black,2023-08-21 09:44:45,Mid,Cloud,PhD,64680,5
81,Employee_81,Engineering,Marketing Exec,Female,Asian,2020-04-02 15:34:26,Junior,Communication,PhD,76632,9
82,Employee_82,Finance,Software Engineer,Female,White,2023-01-28 13:19:28,Junior,Cloud,PhD,73353,6
83,Employee_83,Operations,Data Analyst,Female,Asian,2023-10-06 19:17:04,Lead,Cloud,Master's,112275,9
84,Employee_84,Finance,Sales Rep,Other,Mixed,2023-09-15 17:52:51,Senior,Cloud,Master's,149443,4
85,Employee_85,Finance,Data Analyst,Other,White,2019-07-28 19:36:03,Junior,Cloud,Bachelor's,102681,3
86,Employee_86,Marketing,Finance Associate,Female,Other,2024-03-31 00:18:46,Mid,Communication,Bachelor's,142958,6
87,Employee_87,Engineering,Finance Associate,Non-Binary,Mixed,2019-05-16 19:42:20,Junior,Excel,Bachelor's,61260,1
88,Employee_88,Operations,Marketing Exec,Non-Binary,Asian,2022-01-27 13:11:02,Senior,Excel,Diploma,149444,5
89,Employee_89,Marketing,Data Analyst,Male,White,2019-02-16 14:00:35,Junior,Cloud,Diploma,122426,2
90,Employee_90,Finance,Data Analyst,Other,Black,2019-04-24 02:03:18,Mid,ML,Bachelor's,113175,6
91,Employee_91,Marketing,Finance Associate,Non-Binary,Other,2022-01-12 20:48:39,Mid,Excel,Diploma,55710,3
92,Employee_92,Marketing,HR Manager,Male,Hispanic,2023-08-11 16:36:37,Junior,Leadership,Bachelor's,95763,9
93,Employee_93,Finance,Marketing Exec,Non-Binary,Asian,2018-09-14 08:05:34,Lead,Cloud,Master's,36794,2
94,Employee_94,Operations,Data Analyst,Other,White,2023-06-23 22:53:55,Senior,Excel,Diploma,111450,1
95,Employee_95,HR,Software Engineer,Non-Binary,Mixed,2020-04-19 01:40:09,Mid,ML,Diploma,114555,7
96,Employee_96,Marketing,Software Engineer,Non-Binary,White,2024-04-12 19:56:01,Senior,Communication,Bachelor's,54044,5
97,Employee_97,Engineering,Sales Rep,Other,Black,2021-09-23 15:59:52,Senior,JavaScript,PhD,51894,1
98,Employee_98,Finance,Finance Associate,Male,White,2020-12-20 20:24:11,Mid,ML,Bachelor's,87359,5
99,Employee_99,HR,Sales Rep,Male,Mixed,2022-02-18 01:44:54,Junior,Excel,Diploma,108816,4
100,Employee_100,Marketing,Software Engineer,Female,Asian,2023-04-06 20:32:37,Senior,Python,Diploma,109156,1
101,Employee_101,Finance,Finance Associate,Male,Other,2019-08-11 16:01:07,Junior,Leadership,Bachelor's,47068,8
102,Employee_102,Finance,HR Manager,Female,Mixed,2023-06-15 20:56:49,Lead,Excel,Bachelor's,56431,4
103,Employee_103,Marketing,Finance Associate,Other,Other,2018-12-23 01:42:55,Lead,Leadership,Bachelor's,73639,7
104,Employee_104,Sales,Data Analyst,Male,Other,2023-05-08 07:28:20,Senior,Python,Diploma,40474,6
105,Employee_105,Sales,Software Engineer,Other,Mixed,2024-06-05 12:01:29,Mid,ML,Diploma,82018,9
106,Employee_106,Engineering,Data Analyst,Male,Mixed,2020-04-07 15:24:24,Senior,JavaScript,Diploma,76206,1
107,Employee_107,Finance,Software Engineer,Non-Binary,Hispanic,2023-12-10 19:59:44,Junior,JavaScript,Master's,110458,9
108,Employee_108,Finance,Software Engineer,Male,Other,2023-12-27 17:05:24,Junior,Python,Bachelor's,36611,8
109,Employee_109,Marketing,Finance Associate,Non-Binary,Asian,2023-03-19 01:14:18,Senior,Communication,Master's,91635,5
110,Employee_110,HR,Marketing Exec,Male,Hispanic,2018-02-08 01:56:44,Senior,Python,Bachelor's,86026,3
111,Employee_111,Finance,Software Engineer,Other,Other,2022-10-22 02:41:56,Senior,Python,Master's,109547,2
112,Employee_112,Finance,Software Engineer,Female,White,2020-07-08 10:19:20,Lead,Cloud,Bachelor's,120265,9
113,Employee_113,Marketing,Sales Rep,Male,Asian,2019-07-06 08:22:55,Mid,ML,PhD,81838,3
114,Employee_114,Sales,Marketing Exec,Other,Asian,2023-12-21 08:50:02,Junior,Leadership,Master's,139101,4
115,Employee_115,Finance,Data Analyst,Non-Binary,Other,2023-03-20 01:23:15,Lead,Leadership,Diploma,50306,6
116,Employee_116,Marketing,Software Engineer,Non-Binary,White,2020-07-21 12:07:40,Lead,Excel,Diploma,52074,5
117,Employee_117,Engineering,Finance Associate,Non-Binary,White,2024-08-09 17:17:48,Senior,Leadership,Master's,122632,6
118,Employee_118,Marketing,Marketing Exec,Non-Binary,Mixed,2019-01-05 11:25:38,Junior,Communication,Bachelor's,96819,2
119,Employee_119,Sales,Marketing Exec,Other,Other,2019-09-07 18:24:53,Junior,Cloud,Master's,86753,5
120,Employee_120,HR,Sales Rep,Male,Other,2023-09-08 20:13:14,Junior,Leadership,Diploma,95098,4
121,Employee_121,Finance,Software Engineer,Non-Binary,Asian,2019-06-28 18:32:32,Junior,Cloud,Diploma,75995,1
122,Employee_122,Engineering,Data Analyst,Non-Binary,Black,2021-01-25 16:17:52,Senior,Leadership,Diploma,138273,4
123,Employee_123,Finance,Data Analyst,Male,Other,2024-10-09 09:53:52,Lead,Python,Master's,42616,2
124,Employee_124,Finance,HR Manager,Other,Mixed,2024-03-15 13:25:58,Lead,ML,Master's,70879,7
125,Employee_125,Sales,HR Manager,Non-Binary,Asian,2018-08-25 06:51:57,Lead,Cloud,PhD,139769,7
126,Employee_126,Marketing,Finance Associate,Female,White,2019-12-04 04:18:44,Lead,Leadership,Bachelor's,81066,5
127,Employee_127,Finance,Sales Rep,Other,White,2022-01-27 14:20:13,Junior,Communication,PhD,78343,1
128,Employee_128,Sales,Software Engineer,Female,Black,2024-11-24 16:55:41,Junior,Leadership,Diploma,105190,1
129,Employee_129,Engineering,Data Analyst,Other,Asian,2021-03-08 11:55:54,Mid,JavaScript,PhD,54060,7
130,Employee_130,Sales,HR Manager,Non-Binary,Hispanic,2023-12-03 12:21:50,Senior,JavaScript,Diploma,122944,1
131,Employee_131,Sales,Software Engineer,Other,Mixed,2020-05-12 12:00:56,Junior,ML,Bachelor's,35610,2
132,Employee_132,Sales,Sales Rep,Other,Asian,2022-06-25 19:43:23,Junior,Communication,PhD,41242,4
133,Employee_133,Operations,Software Engineer,Female,Hispanic,2020-04-27 17:08:42,Senior,Excel,Diploma,99823,5
134,Employee_134,Sales,Data Analyst,Other,White,2018-05-12 15:16:13,Senior,ML,PhD,144859,1
135,Employee_135,Finance,Software Engineer,Other,White,2022-09-03 17:16:46,Junior,Leadership,Master's,111479,1
136,Employee_136,Sales,Marketing Exec,Non-Binary,Hispanic,2022-11-22 20:50:10,Lead,Cloud,Master's,134663,3
137,Employee_137,Marketing,HR Manager,Male,Hispanic,2022-03-26 07:59:01,Mid,Cloud,Bachelor's,95916,1
138,Employee_138,HR,Finance Associate,Female,Black,2024-07-17 03:19:02,Mid,Leadership,Bachelor's,57611,3
139,Employee_139,Finance,HR Manager,Female,Asian,2022-06-20 15:15:30,Senior,Excel,PhD,132322,5
140,Employee_140,Sales,Software Engineer,Male,White,2018-09-09 05:40:49,Lead,Python,Bachelor's,43200,3
141,Employee_141,Sales,Marketing Exec,Female,Mixed,2022-07-22 00:22:51,Senior,Excel,Bachelor's,37623,8
142,Employee_142,Marketing,HR Manager,Non-Binary,White,2021-05-26 13:23:23,Mid,ML,Master's,71935,5
143,Employee_143,Finance,Data Analyst,Other,Asian,2020-10-12 06:23:59,Mid,Communication,PhD,125365,5
144,Employee_144,Operations,Marketing Exec,Other,Hispanic,2021-07-24 23:13:42,Lead,Excel,Master's,74868,6
145,Employee_145,Operations,Sales Rep,Non-Binary,Black,2019-05-22 20:03:21,Mid,Leadership,Master's,120702,4
146,Employee_146,Engineering,HR Manager,Female,White,2022-01-31 04:29:34,Mid,Python,Master's,91099,5
147,Employee_147,Operations,Software Engineer,Other,Black,2022-06-11 15:57:51,Lead,Communication,PhD,125632,6
148,Employee_148,Marketing,Data Analyst,Male,Hispanic,2023-01-18 06:17:27,Mid,Leadership,PhD,40578,6
149,Employee_149,Operations,Software Engineer,Other,Other,2019-12-12 22:16:26,Senior,JavaScript,PhD,53727,5
150,Employee_150,Marketing,Sales Rep,Non-Binary,Asian,2023-10-22 08:52:41,Senior,JavaScript,Master's,50809,6
151,Employee_151,Finance,Software Engineer,Other,White,2019-02-24 07:57:25,Senior,Communication,Bachelor's,75468,9
152,Employee_152,Engineering,Sales Rep,Non-Binary,Asian,2023-02-01 06:37:07,Senior,Cloud,PhD,27757,8
153,Employee_153,Sales,Data Analyst,Female,Mixed,2024-10-12 00:41:16,Junior,Cloud,Bachelor's,39725,4
154,Employee_154,Sales,Marketing Exec,Male,Asian,2018-11-12 11:59:39,Mid,ML,Master's,83776,2
155,Employee_155,Sales,HR Manager,Non-Binary,Other,2023-11-15 07:19:45,Mid,Excel,Diploma,75579,4
156,Employee_156,Engineering,Marketing Exec,Male,Hispanic,2018-05-01 12:31:43,Senior,Excel,PhD,105662,6
157,Employee_157,Sales,Sales Rep,Female,Hispanic,2019-02-02 12:55:38,Mid,Cloud,Bachelor's,47072,7
158,Employee_158,Operations,Data Analyst,Female,Mixed,2020-03-04 23:42:49,Junior,Communication,PhD,97884,4
159,Employee_159,Sales,Sales Rep,Non-Binary,Asian,2021-03-30 00:29:12,Junior,Excel,Master's,73058,3
160,Employee_160,Sales,HR Manager,Other,Other,2019-10-27 17:42:02,Junior,JavaScript,PhD,100893,1
161,Employee_161,HR,Data Analyst,Male,Hispanic,2022-12-07 00:53:20,Lead,Communication,Master's,43768,7
162,Employee_162,Operations,Finance Associate,Other,Hispanic,2022-05-15 04:12:15,Senior,Cloud,Diploma,66183,1
163,Employee_163,Sales,Finance Associate,Male,Hispanic,2019-04-25 14:21:20,Mid,Leadership,Master's,148196,8
164,Employee_164,HR,Marketing Exec,Female,Hispanic,2022-08-22 03:02:23,Junior,Excel,Diploma,122078,5
165,Employee_165,Operations,Data Analyst,Female,Black,2020-11-17 16:57:42,Junior,Python,Diploma,86775,8
166,Employee_166,Marketing,HR Manager,Female,White,2020-01-05 03:26:22,Mid,Cloud,Diploma,117644,2
167,Employee_167,Marketing,Marketing Exec,Other,Black,2024-01-28 23:25:13,Mid,Cloud,Bachelor's,104123,3
168,Employee_168,Sales,Finance Associate,Female,Hispanic,2021-02-06 14:25:10,Lead,Leadership,Master's,103082,4
169,Employee_169,Sales,Finance Associate,Other,Other,2018-02-05 18:45:55,Junior,ML,Diploma,33000,2
170,Employee_170,HR,Finance Associate,Female,Asian,2023-03-24 14:14:28,Junior,Python,Master's,25292,4
171,Employee_171,Engineering,Marketing Exec,Other,Black,2022-01-21 12:53:41,Lead,Cloud,PhD,120394,6
172,Employee_172,HR,HR Manager,Non-Binary,Mixed,2023-11-05 01:39:55,Lead,Python,Master's,136095,7
173,Employee_173,Finance,Finance Associate,Non-Binary,White,2018-10-17 21:33:23,Mid,Excel,Master's,38947,6
174,Employee_174,Engineering,Marketing Exec,Male,Asian,2022-09-15 05:44:34,Senior,Communication,Master's,26534,7
175,Employee_175,HR,Marketing Exec,Other,Black,2024-03-26 23:43:54,Mid,JavaScript,Master's,149431,2
176,Employee_176,Finance,Software Engineer,Other,White,2019-04-09 07:38:12,Lead,Communication,Bachelor's,59159,1
177,Employee_177,Finance,Software Engineer,Non-Binary,Other,2018-06-05 13:44:25,Senior,Excel,Diploma,42404,9
178,Employee_178,Sales,Sales Rep,Non-Binary,Black,2019-03-15 18:41:41,Lead,Excel,Diploma,145835,7
179,Employee_179,Operations,HR Manager,Non-Binary,Mixed,2020-06-19 21:06:13,Junior,JavaScript,Diploma,56490,2
180,Employee_180,Sales,Finance Associate,Male,Hispanic,2020-11-10 16:46:43,Lead,Python,PhD,91155,7
181,Employee_181,HR,Software Engineer,Non-Binary,Mixed,2021-02-09 08:20:40,Senior,Python,PhD,132792,4
182,Employee_182,Marketing,HR Manager,Male,Hispanic,2020-10-26 19:27:18,Senior,Leadership,Master's,86099,3
183,Employee_183,Sales,Software Engineer,Male,White,2022-01-29 07:26:03,Junior,Communication,Bachelor's,37478,4
184,Employee_184,Operations,Finance Associate,Non-Binary,Black,2020-06-05 13:28:59,Junior,ML,Bachelor's,112017,5
185,Employee_185,Sales,Marketing Exec,Non-Binary,Black,2020-10-06 00:47:53,Senior,Excel,Master's,118281,9
186,Employee_186,Sales,Finance Associate,Non-Binary,Mixed,2021-02-25 01:10:03,Mid,JavaScript,Master's,77905,4
187,Employee_187,Engineering,Software Engineer,Other,Asian,2019-07-04 01:58:20,Lead,Communication,Diploma,44041,9
188,Employee_188,Marketing,Finance Associate,Female,White,2021-06-05 16:48:31,Mid,Leadership,PhD,67640,4
189,Employee_189,Finance,Marketing Exec,Other,Other,2018-07-29 14:05:42,Junior,JavaScript,PhD,37823,1
190,Employee_190,Engineering,Data Analyst,Male,Hispanic,2024-05-09 04:58:27,Lead,Python,PhD,83020,1
191,Employee_191,Operations,Marketing Exec,Male,White,2018-11-23 02:04:17,Lead,Cloud,PhD,30377,4
192,Employee_192,Sales,Software Engineer,Female,Other,2024-05-16 21:06:37,Junior,Leadership,Master's,65567,4
193,Employee_193,Finance,Marketing Exec,Female,Mixed,2019-05-17 03:28:36,Mid,Python,Master's,40117,7
194,Employee_194,Sales,Sales Rep,Non-Binary,Other,2021-12-27 11:35:25,Mid,Communication,PhD,145201,1
195,Employee_195,Finance,HR Manager,Other,Black,2024-06-05 22:30:41,Junior,Leadership,Diploma,107702,5
196,Employee_196,Finance,Finance Associate,Other,Hispanic,2019-08-08 05:21:59,Mid,ML,Diploma,138188,8
197,Employee_197,Marketing,Sales Rep,Other,Hispanic,2022-07-20 02:01:28,Senior,Python,Diploma,115425,8
198,Employee_198,Operations,Data Analyst,Female,Other,2020-07-29 07:26:26,Junior,JavaScript,PhD,113493,7
199,Employee_199,Operations,Data Analyst,Other,Hispanic,2023-05-12 11:31:59,Senior,Excel,Diploma,125020,4
200,Employee_200,Sales,Finance Associate,Female,Hispanic,2023-02-23 15:54:12,Senior,Leadership,Master's,136185,7
201,Employee_201,Marketing,Finance Associate,Other,White,2024-10-27 20:18:07,Senior,Excel,PhD,33445,1
202,Employee_202,Operations,HR Manager,Female,White,2019-11-11 12:16:40,Lead,ML,Diploma,60639,6
203,Employee_203,Finance,Marketing Exec,Other,Other,2020-11-10 04:10:58,Senior,Communication,Master's,40084,7
204,Employee_204,Finance,Data Analyst,Male,Mixed,2020-05-31 21:28:31,Mid,ML,PhD,119732,3
205,Employee_205,Sales,Software Engineer,Female,Other,2020-09-30 13:55:33,Junior,JavaScript,Master's,59466,8
206,Employee_206,Finance,Finance Associate,Non-Binary,Other,2019-08-06 23:40:40,Mid,Leadership,Diploma,115275,8
207,Employee_207,Operations,Finance Associate,Male,Black,2019-08-01 23:38:07,Senior,ML,Bachelor's,33164,8
208,Employee_208,HR,Sales Rep,Male,Other,2023-11-23 14:57:30,Senior,Leadership,Diploma,61169,5
209,Employee_209,Engineering,Sales Rep,Female,Other,2018-08-29 14:26:02,Senior,Excel,Master's,97184,7
210,Employee_210,HR,Sales Rep,Other,Black,2023-03-30 00:07:43,Senior,Cloud,Bachelor's,66308,5
211,Employee_211,Marketing,Data Analyst,Other,White,2020-05-09 03:04:57,Junior,Leadership,Bachelor's,107849,8
212,Employee_212,HR,Sales Rep,Female,Mixed,2024-06-16 17:55:50,Junior,Python,PhD,144319,9
213,Employee_213,Sales,Finance Associate,Other,Asian,2022-05-10 20:37:23,Lead,Python,Bachelor's,125532,4
214,Employee_214,HR,Data Analyst,Other,Other,2018-11-23 07:00:31,Junior,Leadership,PhD,113602,4
215,Employee_215,Sales,Software Engineer,Other,Other,2022-01-09 05:57:07,Senior,Cloud,Bachelor's,30576,7
216,Employee_216,Marketing,Software Engineer,Female,Other,2019-06-19 05:13:20,Lead,Communication,Bachelor's,121200,7
217,Employee_217,HR,Data Analyst,Female,Hispanic,2020-01-04 01:14:58,Senior,Leadership,PhD,114161,8
218,Employee_218,Engineering,Finance Associate,Non-Binary,Other,2022-12-16 07:03:55,Lead,JavaScript,Master's,100406,7
219,Employee_219,Operations,HR Manager,Other,Black,2023-07-15 14:04:40,Junior,Communication,PhD,75178,7
220,Employee_220,Marketing,HR Manager,Other,Hispanic,2022-07-15 04:29:04,Junior,Leadership,Bachelor's,146627,6
221,Employee_221,HR,Marketing Exec,Female,Black,2021-02-15 21:25:00,Junior,Cloud,Diploma,39600,6
222,Employee_222,Finance,HR Manager,Non-Binary,Other,2023-07-22 10:59:13,Lead,ML,PhD,81742,3
223,Employee_223,Finance,Sales Rep,Female,Asian,2018-04-04 01:25:21,Mid,ML,PhD,127941,4
224,Employee_224,Marketing,Finance Associate,Female,Other,2024-05-27 07:20:55,Senior,ML,Bachelor's,83936,4
225,Employee_225,Finance,HR Manager,Non-Binary,Black,2022-07-19 02:03:33,Junior,JavaScript,Bachelor's,140478,9
226,Employee_226,Engineering,Marketing Exec,Female,Other,2022-10-17 09:45:26,Junior,Leadership,Diploma,51013,6
227,Employee_227,HR,Software Engineer,Male,Asian,2024-10-26 10:32:58,Senior,Python,Bachelor's,134887,3
228,Employee_228,Engineering,Data Analyst,Non-Binary,Black,2022-07-13 22:06:59,Mid,Cloud,PhD,115511,4
229,Employee_229,Engineering,HR Manager,Other,White,2019-01-15 13:11:11,Senior,Excel,PhD,87583,6
230,Employee_230,Operations,Data Analyst,Other,Hispanic,2018-02-23 08:40:26,Junior,Excel,PhD,27467,6
231,Employee_231,HR,Data Analyst,Non-Binary,Mixed,2018-08-22 20:45:23,Junior,ML,Master's,149189,5
232,Employee_232,Marketing,Sales Rep,Other,Mixed,2018-10-22 04:02:27,Mid,Leadership,PhD,37333,1
233,Employee_233,Finance,Sales Rep,Male,Black,2022-01-20 01:14:51,Lead,ML,Master's,112396,6
234,Employee_234,Operations,Software Engineer,Other,Mixed,2023-11-11 00:32:53,Mid,Leadership,Bachelor's,108023,4
235,Employee_235,Engineering,Marketing Exec,Non-Binary,Other,2023-06-22 08:44:11,Senior,ML,Master's,29863,8
236,Employee_236,Finance,Finance Associate,Female,Hispanic,2022-03-10 15:46:03,Junior,JavaScript,PhD,91395,1
237,Employee_237,HR,Finance Associate,Non-Binary,White,2024-06-13 02:23:24,Mid,Excel,Bachelor's,87325,5
238,Employee_238,Engineering,Finance Associate,Non-Binary,White,2023-10-25 17:13:32,Junior,Communication,Master's,97083,4
