hire_id,candidate_id,department,role,required_skills,years_experience_required,salary_offer,gender,ethnicity,hired,interview_score,date_posted,date_hired
22,63707,HR,Marketing Exec,JavaScript,8,38646,Female,Hispanic,1,1,2020-01-24 21:40:39,2021-06-11 17:01:16
23,95305,HR,Sales Rep,Python,7,113715,Non-Binary,Asian,1,4,2024-07-12 06:29:43,2021-10-25 16:58:56
24,38693,Finance,Finance Associate,Cloud,5,30870,Non-Binary,Asian,0,8,2019-03-06 15:10:08,2024-07-07 21:41:44
25,81932,Operations,Data Analyst,Cloud,4,55736,Non-Binary,Mixed,1,5,2023-12-31 14:50:00,2020-10-19 20:57:49
26,35658,Sales,Sales Rep,Python,2,83084,Other,Other,0,8,2022-03-25 08:22:56,2020-12-17 07:15:06
27,94478,Finance,Sales Rep,Cloud,2,41211,Other,White,1,1,2022-05-07 14:43:38,2018-02-09 01:08:57
28,28431,HR,Sales Rep,ML,6,111665,Male,Mixed,1,9,2019-12-07 19:41:53,2020-03-27 04:00:21
29,12747,Finance,Software Engineer,Communication,4,84538,Non-Binary,Mixed,0,4,2019-06-17 07:03:36,2021-04-02 08:39:07
30,69150,Operations,Sales Rep,Leadership,5,32377,Female,Hispanic,1,9,2022-03-07 17:53:58,2020-07-21 09:16:23
31,75725,Operations,Finance Associate,ML,5,33861,Other,Asian,1,8,2023-10-03 06:16:25,2024-06-09 07:51:55
32,94654,Engineering,HR Manager,ML,8,42821,Female,Other,0,8,2019-06-03 03:38:58,2018-11-07 12:34:19
33,45773,Marketing,Marketing Exec,Python,0,103488,Female,Hispanic,0,2,2018-02-13 19:56:45,2020-03-09 21:28:03
34,77435,Engineering,Sales Rep,Python,7,99583,Male,Mixed,0,3,2018-12-31 02:23:44,2021-07-21 10:02:35
35,66886,Operations,Software Engineer,Leadership,9,51953,Male,Black,1,9,2024-11-02 10:42:12,2024-04-19 19:19:40
36,76803,HR,Finance Associate,Communication,4,61801,Female,White,0,3,2019-12-16 15:30:54,2022-01-27 06:40:56
37,41551,Sales,Sales Rep,JavaScript,5,43277,Female,Mixed,1,8,2019-09-23 05:53:23,2020-01-03 15:07:00
38,21394,HR,Software Engineer,ML,5,114439,Female,Hispanic,1,5,2021-06-29 03:48:39,2021-03-08 23:46:39
39,79092,Engineering,HR Manager,Cloud,0,108762,Female,Black,1,7,2018-12-15 11:07:36,2018-04-15 05:54:56
40,13890,Sales,Data Analyst,Communication,2,47628,Non-Binary,Black,1,4,2022-04-07 04:11:10,2021-09-12 18:51:36
41,51606,Operations,Sales Rep,ML,5,107246,Female,Mixed,1,8,2024-09-01 23:58:35,2019-08-11 01:37:24
42,90038,HR,Finance Associate,JavaScript,8,52802,Other,Other,1,4,2023-08-31 14:37:55,2020-04-12 14:33:32
43,97313,Operations,Software Engineer,Cloud,5,88497,Male,Asian,0,5,2022-11-26 14:38:23,2018-01-01 13:19:32
44,20627,Sales,Software Engineer,ML,5,109320,Other,Black,1,1,2019-01-08 21:41:02,2019-02-13 16:56:05
45,18792,Sales,Sales Rep,Excel,0,94814,Male,White,1,8,2023-11-30 02:09:38,2020-03-05 10:13:28
46,83969,HR,Software Engineer,Leadership,8,78702,Male,Hispanic,1,7,2021-08-16 00:25:49,2019-07-29 04:15:32
47,53001,Operations,Data Analyst,Communication,3,53677,Male,Hispanic,1,5,2018-04-11 08:38:59,2022-10-26 16:25:37
48,86552,Finance,Software Engineer,Leadership,1,32500,Other,Hispanic,1,6,2024-07-28 08:24:18,2021-01-13 08:25:38
49,33897,Operations,Marketing Exec,Python,0,29015,Male,Mixed,1,1,2019-04-01 16:25:41,2022-10-31 17:49:30
50,78148,Sales,Marketing Exec,ML,2,112372,Female,Hispanic,0,8,2018-05-17 13:50:08,2019-07-30 10:43:21
51,33483,Operations,Software Engineer,Cloud,2,83812,Female,Hispanic,0,9,2018-02-25 06:53:05,2024-04-22 11:29:38
52,58555,Engineering,Sales Rep,Cloud,4,32826,Non-Binary,White,1,5,2024-02-28 06:57:11,2021-02-12 10:56:08
53,27159,Finance,Marketing Exec,Communication,0,34201,Non-Binary,Asian,0,7,2019-05-19 22:48:18,2022-05-14 00:58:15
54,90077,Marketing,Finance Associate,Communication,6,54048,Non-Binary,Other,1,4,2024-09-30 13:39:23,2019-02-10 08:25:32
55,45920,Engineering,Marketing Exec,Leadership,0,44941,Female,Mixed,1,6,2018-05-28 05:27:44,2021-09-25 23:59:58
56,77121,Marketing,Software Engineer,Cloud,3,105641,Other,Mixed,1,2,2019-03-07 03:03:38,2019-05-15 23:21:03
57,79479,HR,Sales Rep,Cloud,5,83418,Non-Binary,Hispanic,1,4,2021-10-15 06:12:57,2021-12-14 10:35:00
58,99475,Marketing,HR Manager,Cloud,0,90689,Female,White,1,5,2023-05-06 21:13:51,2024-08-19 18:38:25
59,29457,Operations,Sales Rep,ML,6,66541,Male,Black,1,9,2018-10-18 21:13:08,2023-11-26 06:56:24
60,76557,Marketing,Sales Rep,Cloud,9,74939,Other,Hispanic,0,9,2023-05-21 23:12:48,2022-02-28 21:43:05
61,87189,Sales,Sales Rep,Python,6,95422,Other,Hispanic,1,8,2023-06-20 04:08:59,2020-10-04 13:01:43
62,88953,Engineering,Finance Associate,Cloud,2,48950,Female,Mixed,1,4,2021-01-28 01:23:20,2021-11-27 08:28:15
63,62995,Engineering,Data Analyst,Python,3,92803,Female,Mixed,1,6,2019-12-25 02:12:06,2024-05-31 11:03:49
64,50757,Marketing,Software Engineer,ML,5,45642,Male,Hispanic,1,7,2019-03-14 23:06:34,2024-05-11 07:08:08
65,19692,Engineering,Data Analyst,Communication,6,91506,Male,Mixed,0,1,2024-06-03 04:22:31,2022-05-23 18:56:00
66,55758,Sales,HR Manager,Python,3,66607,Male,White,1,1,2023-05-02 11:25:12,2020-02-12 10:28:51
67,82409,Engineering,Data Analyst,ML,9,56288,Other,Black,1,4,2018-11-16 08:46:01,2019-12-27 11:58:07
68,81211,Marketing,Software Engineer,Cloud,8,107865,Other,Black,1,3,2018-03-11 07:07:19,2022-11-18 23:48:47
69,75697,Finance,Software Engineer,ML,8,39450,Non-Binary,Black,1,4,2024-03-17 09:11:30,2019-09-04 03:22:35
70,47065,Finance,HR Manager,Cloud,8,30618,Non-Binary,Hispanic,1,9,2018-12-04 15:08:38,2022-08-25 05:43:48
71,42606,HR,Software Engineer,Leadership,9,59263,Non-Binary,Other,1,2,2021-11-16 16:13:49,2020-05-01 12:17:56
72,21534,Engineering,HR Manager,ML,5,92583,Other,Hispanic,1,4,2018-05-28 06:09:47,2022-07-11 20:27:07
73,50397,Marketing,HR Manager,Communication,1,99900,Male,Hispanic,0,7,2021-05-01 02:17:27,2020-04-14 07:32:11
74,11016,Engineering,Software Engineer,Python,1,53794,Non-Binary,White,1,2,2019-11-26 03:32:19,2021-05-13 22:00:50
75,99789,Operations,Marketing Exec,Leadership,3,38091,Male,Black,0,8,2018-10-25 12:13:46,2019-07-26 17:52:55
76,65591,Sales,HR Manager,Communication,8,93422,Male,Mixed,1,4,2019-06-08 13:28:21,2020-02-29 16:32:13
77,99812,Engineering,Software Engineer,Excel,2,112108,Male,Mixed,1,9,2021-03-06 08:31:45,2022-01-31 16:48:22
78,33247,Engineering,Marketing Exec,Cloud,5,40161,Non-Binary,Asian,0,1,2021-12-26 20:01:26,2020-05-28 04:54:47
79,34300,Finance,HR Manager,Python,1,29158,Non-Binary,Asian,1,7,2018-02-15 13:11:16,2020-01-09 02:21:07
80,84065,Sales,Marketing Exec,Communication,0,52663,Male,Other,0,1,2018-11-21 00:55:31,2024-12-26 20:33:35
81,92798,Marketing,Finance Associate,Python,4,110381,Non-Binary,Mixed,1,9,2023-11-25 10:22:30,2023-05-13 05:28:07
82,19268,Engineering,Sales Rep,Excel,7,31733,Female,Black,0,1,2019-09-10 07:03:45,2018-03-21 11:23:53
83,96807,Finance,Finance Associate,JavaScript,9,57001,Non-Binary,Hispanic,1,3,2020-07-28 16:13:21,2021-04-17 16:58:27
84,22185,HR,Marketing Exec,Cloud,9,64128,Male,Mixed,1,7,2018-04-21 11:24:40,2022-02-10 21:38:38
85,73704,Sales,HR Manager,Cloud,1,74630,Male,Other,1,1,2021-06-13 08:15:37,2019-10-06 07:22:27
86,96779,Finance,Software Engineer,ML,9,34329,Other,Other,1,5,2023-09-09 15:21:38,2022-11-01 19:37:11
87,49099,Finance,Data Analyst,Cloud,8,78105,Other,Mixed,0,6,2019-03-12 11:26:10,2021-06-05 21:27:58
88,18571,Finance,Software Engineer,Cloud,7,88436,Male,Asian,0,3,2020-08-08 07:49:53,2022-12-04 00:18:35
89,48044,Engineering,Data Analyst,Communication,2,115348,Female,Black,1,6,2022-07-14 20:43:05,2020-03-15 01:29:45
90,61214,Engineering,Data Analyst,Leadership,0,117635,Other,Mixed,1,4,2024-07-14 09:48:18,2022-04-29 04:36:21
91,71228,HR,HR Manager,Cloud,3,94579,Male,Hispanic,0,6,2020-02-08 07:04:08,2021-02-15 01:53:18
92,58984,Operations,Marketing Exec,Cloud,7,39242,Other,Hispanic,0,6,2021-08-06 18:46:02,2018-02-02 08:43:26
93,50774,Operations,Software Engineer,Excel,2,116814,Other,White,1,4,2023-01-25 13:00:14,2018-11-13 00:29:14
94,12568,Operations,Marketing Exec,Leadership,9,52133,Male,Hispanic,1,1,2018-06-17 04:14:34,2023-08-01 14:51:53
95,72592,Sales,Finance Associate,Excel,1,49740,Non-Binary,Mixed,1,3,2023-03-10 02:54:18,2022-10-19 08:55:48
96,77563,Sales,HR Manager,Python,6,55976,Female,Mixed,0,7,2020-12-15 17:43:00,2019-09-23 22:58:26
97,12695,HR,HR Manager,Python,3,65067,Non-Binary,Hispanic,1,2,2024-11-03 19:24:59,2021-05-28 21:10:27
98,58190,Sales,Finance Associate,Cloud,5,36231,Male,Asian,0,4,2021-04-09 12:26:22,2018-09-19 01:57:41
99,15258,Operations,Software Engineer,Cloud,4,91105,Male,Black,1,6,2020-03-11 11:21:52,2022-11-10 02:26:06
100,97538,Operations,Sales Rep,ML,1,28328,Female,Other,1,5,2018-08-24 14:24:15,2019-04-21 04:35:49
101,49504,Finance,Finance Associate,Python,9,50261,Male,Mixed,1,6,2018-01-26 23:14:05,2023-02-13 19:39:58
102,43159,Sales,Software Engineer,Communication,1,50262,Other,Hispanic,1,5,2024-12-23 20:46:08,2023-02-13 23:44:05
103,23986,Engineering,Data Analyst,Cloud,8,28280,Female,Other,0,9,2020-10-07 01:34:06,2021-06-15 06:28:01
104,71858,Engineering,HR Manager,Communication,9,109683,Non-Binary,Hispanic,1,2,2019-05-11 13:54:33,2021-01-17 10:13:30
105,22666,Finance,Software Engineer,Cloud,1,56742,Female,Mixed,1,4,2019-10-31 14:31:08,2018-12-14 18:46:53
106,48660,Finance,Marketing Exec,Communication,7,28590,Non-Binary,White,0,1,2024-06-17 10:35:45,2023-03-29 05:48:07
107,13561,Finance,Marketing Exec,JavaScript,7,75226,Male,Black,1,7,2023-03-28 04:51:12,2020-12-28 00:01:25
108,36854,Engineering,HR Manager,Communication,0,112542,Non-Binary,Mixed,1,1,2022-04-22 22:50:05,2019-12-15 00:05:01
109,74505,Operations,Finance Associate,Leadership,0,38570,Non-Binary,Other,1,6,2023-07-03 04:17:45,2018-05-03 13:58:27
110,62251,Finance,Sales Rep,Python,3,114443,Non-Binary,Hispanic,1,9,2020-02-07 23:44:03,2018-06-16 04:58:25
111,32662,HR,Finance Associate,Cloud,1,34533,Female,White,1,2,2022-06-13 14:26:51,2024-11-26 20:35:17
112,18392,Finance,Software Engineer,Python,0,107283,Other,Mixed,1,1,2023-08-18 04:49:35,2019-01-26 22:28:41
113,40535,Marketing,Finance Associate,Leadership,8,38366,Non-Binary,Black,1,3,2022-11-10 11:44:59,2023-12-10 20:41:54
114,88603,Finance,HR Manager,Leadership,2,101368,Female,White,1,6,2018-01-30 09:38:08,2019-09-22 06:35:47
115,62256,Engineering,Software Engineer,Communication,0,53325,Female,Other,1,7,2023-12-01 00:51:30,2024-08-25 05:07:03
116,99135,Sales,Data Analyst,Excel,1,59798,Other,Hispanic,1,8,2021-05-08 00:32:32,2024-03-05 17:28:36
117,45222,Finance,Finance Associate,Excel,7,64453,Female,Asian,0,4,2021-11-12 15:52:50,2020-03-25 04:03:58
118,87373,Sales,Finance Associate,Leadership,4,47849,Male,Black,1,8,2020-02-27 10:44:51,2023-09-10 05:17:22
119,89575,Marketing,Sales Rep,Excel,6,80943,Male,White,1,7,2024-07-20 15:40:10,2019-04-13 04:54:52
120,94651,HR,Software Engineer,Cloud,5,31157,Male,Mixed,0,8,2023-02-20 13:29:48,2023-09-08 21:12:31
121,73335,Sales,Marketing Exec,ML,0,55178,Other,Mixed,0,5,2018-10-26 15:25:14,2022-05-07 00:58:55
122,20965,Operations,Finance Associate,JavaScript,5,107537,Female,White,1,7,2020-11-19 19:43:41,2019-11-26 20:31:07
123,34538,Finance,HR Manager,Communication,6,54030,Male,Mixed,1,4,2024-10-09 23:47:35,2019-07-29 16:41:56
124,80592,Marketing,Finance Associate,ML,3,76134,Non-Binary,White,1,1,2022-07-21 14:06:10,2018-04-20 16:11:52
125,18110,Marketing,Sales Rep,Excel,7,90729,Female,Black,1,3,2023-06-30 17:57:16,2019-05-14 08:04:26
126,89309,Sales,Data Analyst,Communication,7,33164,Male,Mixed,0,9,2022-11-11 07:11:06,2021-12-11 01:38:15
127,37266,HR,Sales Rep,ML,6,111378,Female,Black,1,4,2021-10-24 09:53:12,2024-05-07 01:43:23
128,62992,Engineering,Finance Associate,Python,1,26119,Male,Hispanic,0,5,2020-11-17 08:05:55,2020-12-04 04:18:33
129,92948,Finance,Marketing Exec,Excel,5,38351,Non-Binary,Hispanic,1,3,2023-11-08 12:18:01,2022-11-16 20:35:43
130,16910,Marketing,Finance Associate,ML,5,81063,Female,Hispanic,1,6,2021-10-15 17:16:20,2020-06-27 17:19:34
131,10206,HR,Software Engineer,Cloud,6,97076,Male,Hispanic,1,4,2022-05-27 17:13:00,2023-12-20 16:14:25
132,97054,Operations,Finance Associate,Python,5,70162,Male,Mixed,1,5,2024-11-03 02:24:08,2023-03-06 04:13:15
133,97897,Marketing,Marketing Exec,Excel,1,56760,Non-Binary,White,1,7,2019-12-31 21:34:24,2018-06-18 16:46:42
134,33419,HR,Software Engineer,JavaScript,7,74678,Non-Binary,Mixed,1,7,2021-07-31 21:17:10,2018-05-31 14:45:09
135,60636,Engineering,HR Manager,Leadership,3,117064,Male,Other,1,9,2022-11-12 20:36:30,2023-01-08 06:26:04
136,60015,Engineering,Software Engineer,Excel,8,114074,Male,Mixed,1,2,2022-05-01 17:53:14,2021-07-20 22:43:55
137,64268,Marketing,Sales Rep,Cloud,7,72628,Other,Black,1,4,2019-06-03 16:36:38,2023-02-11 10:53:22
138,97939,Marketing,Data Analyst,JavaScript,2,116894,Other,White,0,8,2023-05-27 09:12:57,2020-07-05 16:28:34
139,28141,Sales,Sales Rep,JavaScript,2,65739,Female,Asian,1,4,2018-07-21 09:33:17,2023-10-19 02:04:34
140,90356,Finance,Software Engineer,JavaScript,7,54738,Female,Asian,1,3,2019-11-18 19:40:30,2022-09-20 20:19:32
141,81910,HR,HR Manager,Communication,1,71921,Other,White,0,6,2018-07-16 08:21:01,2019-04-14 03:28:37
142,66044,Marketing,Finance Associate,Communication,8,86068,Male,Asian,1,3,2023-03-06 07:52:08,2022-08-10 11:21:49
143,77214,Finance,Software Engineer,Leadership,3,48581,Non-Binary,White,0,2,2018-12-20 13:56:38,2020-01-26 22:44:55
144,43827,Sales,Sales Rep,JavaScript,5,46485,Female,Black,1,9,2020-02-02 12:28:19,2023-07-13 07:06:25
145,65820,Finance,Software Engineer,Leadership,2,117701,Male,Black,1,3,2024-02-24 17:42:00,2023-03-25 15:52:27
146,72623,Marketing,Software Engineer,Python,2,61294,Non-Binary,Mixed,1,1,2023-06-26 22:36:43,2020-07-06 23:43:10
147,91734,Engineering,Software Engineer,JavaScript,2,78001,Non-Binary,Asian,1,9,2023-06-20 00:36:20,2018-10-01 19:23:30
148,85450,HR,HR Manager,ML,9,26634,Male,White,1,5,2022-09-22 19:42:41,2020-04-18 21:03:45
149,32299,HR,Marketing Exec,JavaScript,1,68969,Male,Black,0,7,2019-09-27 22:34:43,2018-05-09 05:51:42
150,53585,Engineering,Marketing Exec,Communication,7,25093,Female,Mixed,0,2,2019-02-05 01:37:04,2020-06-08 04:18:19
151,74044,Marketing,Software Engineer,Communication,8,53370,Other,Asian,0,1,2019-03-25 16:07:43,2019-02-12 17:34:41
152,52557,HR,HR Manager,ML,7,44750,Male,Asian,1,6,2024-08-14 19:32:08,2024-03-07 07:20:29
153,59080,Marketing,HR Manager,ML,9,41472,Other,Asian,0,5,2024-01-05 10:10:03,2018-10-25 09:23:16
154,12693,Sales,Software Engineer,Excel,2,43934,Female,Black,1,6,2021-05-08 19:50:48,2020-08-10 23:13:30
155,79163,Marketing,Sales Rep,Python,6,68774,Other,Black,1,2,2023-06-16 04:31:53,2023-06-14 10:50:01
156,35939,Finance,Sales Rep,Python,9,113057,Other,Asian,1,7,2018-10-15 03:09:25,2022-05-24 16:08:40
157,58925,Engineering,Data Analyst,Python,1,64125,Non-Binary,Black,0,1,2021-02-13 13:21:57,2024-05-10 08:05:59
158,52941,Marketing,Software Engineer,Cloud,3,91981,Female,Asian,1,8,2022-01-22 15:51:00,2018-07-22 19:09:27
159,31834,Sales,Data Analyst,Communication,5,111541,Male,Hispanic,0,7,2023-08-23 07:31:22,2019-11-29 11:01:32
160,28047,Operations,Sales Rep,Python,4,64103,Other,Black,1,7,2021-06-19 12:46:56,2020-02-22 20:54:04
161,36105,Engineering,Sales Rep,Excel,8,108750,Female,White,1,6,2021-09-22 04:04:03,2023-08-18 13:37:47
162,85766,HR,Software Engineer,Excel,9,85085,Non-Binary,Black,0,5,2022-08-12 05:04:00,2021-08-03 16:12:30
163,25707,Finance,Data Analyst,Python,3,113705,Non-Binary,Asian,0,9,2021-12-20 23:42:44,2024-11-17 04:23:09
164,31976,HR,Data Analyst,ML,4,81543,Other,White,1,3,2021-11-13 17:44:28,2024-06-28 20:34:41
165,54262,Sales,Software Engineer,Excel,3,41938,Other,Mixed,1,9,2019-08-14 00:35:47,2019-12-30 03:39:34
166,33776,Sales,Data Analyst,Leadership,7,102492,Male,White,1,5,2024-06-19 15:42:23,2024-02-12 07:14:11
167,40080,HR,Finance Associate,ML,7,76586,Female,White,1,8,2019-07-09 15:38:08,2024-12-21 01:20:12
168,76842,Engineering,Sales Rep,Leadership,2,83024,Male,Black,1,3,2019-10-05 03:03:35,2024-11-13 22:52:57
169,71373,HR,Marketing Exec,Communication,0,64687,Male,Other,1,7,2022-06-26 07:51:41,2023-04-25 15:40:28
170,16776,Marketing,HR Manager,Cloud,5,96129,Non-Binary,White,1,4,2021-09-20 13:18:15,2023-04-08 12:28:58
171,65016,HR,Data Analyst,Excel,1,51207,Female,White,1,5,2019-09-30 23:24:47,2019-01-09 03:29:53
172,19474,Finance,Data Analyst,ML,1,74354,Male,Asian,1,4,2022-08-08 23:32:00,2024-07-12 09:29:44
173,68053,Finance,HR Manager,Leadership,2,62310,Non-Binary,Black,0,9,2024-12-31 05:49:28,2018-07-13 21:18:29
174,31959,Operations,Data Analyst,Python,7,73960,Other,Asian,1,7,2023-11-28 15:46:36,2023-03-28 17:03:18
175,15530,Finance,HR Manager,Leadership,2,86262,Male,Black,0,6,2018-06-13 03:06:00,2021-09-15 16:47:08
176,13748,HR,Software Engineer,Leadership,6,38403,Other,Mixed,0,6,2022-03-09 13:11:33,2019-03-21 21:52:04
177,23545,Finance,Finance Associate,Communication,9,38065,Female,Other,1,7,2019-12-12 03:48:16,2020-08-20 09:36:24
178,76199,Engineering,Finance Associate,JavaScript,9,114930,Male,White,1,5,2021-10-03 00:48:54,2024-09-11 07:53:33
179,44766,Finance,Sales Rep,JavaScript,8,51801,Other,Black,0,3,2020-03-29 16:30:24,2018-01-30 21:26:33
180,83530,Marketing,Marketing Exec,Python,7,54230,Other,White,1,3,2024-12-03 09:55:25,2022-12-31 04:14:13
181,71087,Engineering,Data Analyst,Communication,0,97706,Female,White,1,7,2020-07-29 20:36:14,2023-01-28 04:34:32
182,78840,Operations,Marketing Exec,Communication,6,108942,Non-Binary,Hispanic,0,1,2022-04-28 20:59:35,2022-11-03 21:11:00
183,64384,Marketing,Software Engineer,Communication,6,115214,Non-Binary,Asian,1,4,2024-12-09 14:52:12,2020-04-10 11:08:03
184,61005,HR,Finance Associate,Communication,7,54968,Male,Other,1,8,2022-08-22 22:32:10,2023-12-09 18:51:00
185,56576,HR,Software Engineer,JavaScript,9,67517,Other,Black,0,4,2018-02-01 06:29:59,2019-10-23 19:31:22
186,49353,HR,Software Engineer,ML,4,78239,Non-Binary,Mixed,1,1,2023-05-05 01:34:14,2018-04-06 18:05:16
187,72003,Marketing,Data Analyst,Communication,9,57655,Male,Other,1,5,2018-03-24 01:32:27,2019-04-16 01:05:08
188,93211,Marketing,Software Engineer,ML,8,117623,Other,Hispanic,1,1,2024-04-04 11:42:29,2018-01-03 07:24:20
189,62733,Marketing,Finance Associate,Leadership,8,87771,Male,Asian,0,9,2020-07-03 21:57:04,2023-04-13 21:48:52
190,75318,Engineering,Marketing Exec,Leadership,7,70984,Female,Mixed,1,8,2024-01-04 06:07:38,2023-09-12 09:45:16
191,99474,Sales,Finance Associate,Communication,5,36049,Male,Mixed,0,7,2019-12-17 15:40:57,2019-01-12 19:24:19
192,33664,Engineering,Data Analyst,Excel,5,97321,Female,White,1,5,2023-08-30 13:37:30,2020-06-24 23:23:51
193,77172,HR,Finance Associate,Cloud,0,89813,Other,Asian,0,4,2022-04-08 16:02:15,2022-06-29 21:09:07
194,95616,Sales,HR Manager,Excel,5,29655,Other,Hispanic,1,7,2019-09-24 23:55:23,2024-02-19 04:49:58
195,36736,Finance,Marketing Exec,Leadership,3,108994,Other,Black,1,3,2018-08-08 05:29:39,2023-08-11 19:31:17
196,10854,HR,HR Manager,Cloud,3,115638,Male,Black,0,8,2023-03-05 15:05:56,2021-06-20 11:29:18
197,48623,Operations,HR Manager,Excel,1,97454,Other,Hispanic,0,5,2018-08-16 10:13:40,2023-08-10 10:33:24
198,17392,Engineering,Sales Rep,Communication,3,93972,Other,White,0,5,2018-08-05 21:35:25,2020-09-07 07:31:59
199,65680,Marketing,Data Analyst,ML,4,46432,Female,White,0,1,2021-05-21 16:38:36,2021-12-18 03:33:28
200,56717,Engineering,Software Engineer,Cloud,4,115409,Other,Mixed,1,8,2022-01-03 11:04:25,2024-05-07 18:25:59
201,97092,Marketing,HR Manager,JavaScript,4,90896,Other,Asian,1,7,2022-12-17 16:49:06,2022-11-28 22:04:52
202,60859,Sales,Finance Associate,Python,3,95135,Other,Mixed,1,1,2022-08-07 00:56:51,2019-06-14 06:49:33
203,36309,Operations,Software Engineer,Cloud,0,67936,Non-Binary,Black,1,4,2024-07-20 15:48:55,2024-09-03 06:25:26
204,97455,Sales,Finance Associate,Cloud,9,38750,Other,Hispanic,1,4,2023-07-23 08:04:20,2020-11-25 09:07:27
205,73734,Operations,Finance Associate,JavaScript,7,52987,Male,Asian,0,9,2020-12-30 02:16:53,2018-05-09 02:10:05
206,80467,Engineering,Software Engineer,Communication,2,51165,Female,Hispanic,1,2,2018-09-12 19:49:13,2021-02-04 04:13:46
207,62662,Marketing,Software Engineer,Excel,1,75541,Other,Asian,1,4,2022-04-03 13:50:57,2022-10-14 07:03:20
208,22688,Sales,Finance Associate,Excel,8,49346,Male,Other,1,3,2024-04-29 16:18:32,2018-02-12 20:33:38
209,35342,Operations,Data Analyst,Leadership,6,28514,Female,Black,1,5,2020-09-18 19:06:15,2020-08-22 13:00:57
210,47157,HR,Marketing Exec,ML,8,49838,Female,Black,1,7,2020-06-10 11:13:27,2020-07-14 08:10:02
211,77863,HR,Sales Rep,Communication,1,52559,Male,Other,1,5,2023-02-04 05:04:57,2019-01-23 09:03:11
212,62083,Sales,Marketing Exec,JavaScript,8,84207,Male,Asian,0,5,2021-10-13 16:57:40,2018-12-01 16:43:00
213,75733,Marketing,Data Analyst,Communication,9,41385,Non-Binary,White,0,4,2019-02-04 02:33:51,2019-08-18 10:55:07
214,99045,Sales,Sales Rep,Communication,8,43317,Non-Binary,Asian,1,9,2018-04-28 23:34:38,2020-07-03 14:39:04
215,44698,Engineering,Software Engineer,Excel,8,25393,Other,Black,1,6,2021-05-27 04:11:30,2022-12-21 17:00:56
216,90623,Operations,Sales Rep,JavaScript,9,49881,Non-Binary,Hispanic,0,6,2021-02-23 07:46:20,2024-11-12 22:28:07
217,32671,Engineering,Finance Associate,Python,9,52955,Male,Mixed,1,6,2021-12-12 05:44:42,2020-06-23 14:59:40
218,35184,HR,Marketing Exec,Cloud,3,83308,Non-Binary,Hispanic,1,6,2020-12-18 12:19:27,2024-03-04 15:16:05
219,52107,Operations,Sales Rep,Excel,9,83014,Female,Black,1,1,2022-05-26 04:46:09,2020-04-17 01:50:54
