training_id,employee_id,training_name,hours_completed,training_score,completion_date
48,995,Cloud Cert,33,44,2020-09-14 03:41:11
49,883,Leadership 101,32,92,2024-02-08 08:02:47
50,560,AI Workshop,7,28,2018-10-12 23:11:12
51,4442,AI Workshop,15,87,2023-12-11 19:24:41
52,580,Leadership 101,14,20,2022-07-22 23:42:45
53,860,Leadership 101,35,81,2021-12-24 02:11:46
54,1435,AI Workshop,40,52,2020-08-31 15:12:55
55,2931,AI Workshop,31,8,2022-01-28 00:13:22
56,2375,AI Workshop,31,79,2019-02-02 11:15:26
57,1337,Leadership 101,26,87,2022-07-29 00:53:34
58,4450,Excel Bootcamp,25,78,2018-07-30 16:39:35
59,1015,AI Workshop,46,27,2020-06-02 10:16:20
60,696,AI Workshop,6,77,2020-12-17 19:59:10
61,4618,Cloud Cert,27,39,2018-10-24 23:38:28
62,3016,Excel Bootcamp,32,89,2023-05-15 01:15:51
63,4352,Leadership 101,12,90,2023-05-28 08:21:23
64,3751,AI Workshop,47,63,2021-07-21 13:40:16
65,3815,Leadership 101,30,75,2022-04-12 06:41:28
66,4881,Excel Bootcamp,24,38,2023-04-05 13:47:14
67,4178,Excel Bootcamp,24,73,2022-01-29 17:04:48
68,1250,Excel Bootcamp,22,97,2019-10-15 11:03:44
69,995,Cloud Cert,4,51,2020-02-27 12:12:11
70,1347,AI Workshop,19,80,2022-06-04 19:25:57
71,844,Excel Bootcamp,25,84,2019-06-08 21:49:30
72,676,Leadership 101,5,7,2021-04-11 05:24:21
73,163,Cloud Cert,4,33,2018-08-18 20:27:34
74,4214,Excel Bootcamp,29,77,2020-07-24 23:40:48
75,2672,Excel Bootcamp,9,47,2024-09-20 20:59:46
76,859,Leadership 101,38,35,2019-04-15 10:53:39
77,412,Cloud Cert,40,68,2023-10-22 11:51:36
78,1850,Leadership 101,34,63,2019-09-19 17:07:26
79,2515,AI Workshop,8,95,2021-11-17 02:27:27
80,571,Excel Bootcamp,11,94,2023-10-09 06:31:37
81,3109,Leadership 101,34,3,2023-11-04 07:44:13
82,3176,Cloud Cert,46,41,2023-04-02 07:57:42
83,3820,AI Workshop,32,91,2019-10-01 01:55:26
84,3622,Excel Bootcamp,32,32,2024-05-14 11:39:05
85,994,Excel Bootcamp,49,47,2022-11-02 09:10:33
86,4111,Cloud Cert,5,38,2022-10-24 16:14:31
87,1168,Leadership 101,32,6,2020-10-03 09:49:47
88,823,Leadership 101,5,62,2019-08-12 11:37:47
89,4346,Excel Bootcamp,32,8,2018-08-09 03:21:08
90,388,AI Workshop,1,54,2021-02-05 02:10:07
91,2799,Leadership 101,6,88,2019-07-06 07:00:29
92,3367,Cloud Cert,39,79,2018-09-28 15:12:29
93,47,Excel Bootcamp,25,25,2024-04-11 07:56:36
94,604,AI Workshop,27,27,2019-11-18 02:31:57
95,3761,Cloud Cert,46,13,2018-03-18 15:46:02
96,1062,AI Workshop,14,84,2021-08-22 03:51:26
97,1086,AI Workshop,48,5,2018-06-02 11:02:58
98,4669,Excel Bootcamp,9,71,2022-09-29 15:12:14
99,481,AI Workshop,28,58,2020-07-17 23:57:18
100,1032,Leadership 101,24,69,2022-01-05 09:27:01
101,3878,Leadership 101,9,28,2018-09-25 03:37:31
102,1130,AI Workshop,36,37,2023-08-27 04:44:01
103,4388,Excel Bootcamp,39,93,2020-04-27 09:35:57
104,2005,Excel Bootcamp,37,37,2022-08-22 12:06:30
105,2616,AI Workshop,49,7,2018-05-08 21:16:50
106,3629,Leadership 101,42,46,2018-09-03 08:00:04
107,532,Leadership 101,34,90,2020-09-30 08:59:59
108,4031,Excel Bootcamp,3,58,2021-11-03 10:05:02
109,1899,Excel Bootcamp,21,83,2019-02-23 17:39:31
110,204,Cloud Cert,39,74,2021-03-04 11:02:00
111,1737,Cloud Cert,37,56,2019-11-26 00:41:31
112,335,AI Workshop,42,84,2018-11-12 18:45:41
113,3074,AI Workshop,36,95,2022-02-02 10:57:38
114,1236,Excel Bootcamp,2,6,2024-01-20 11:48:42
115,3982,Excel Bootcamp,17,79,2021-10-22 10:14:35
116,4239,Cloud Cert,41,88,2020-05-10 17:36:32
117,2141,AI Workshop,29,30,2022-07-02 03:59:19
118,4218,Cloud Cert,25,9,2018-03-19 19:42:17
119,725,Cloud Cert,21,65,2021-09-21 03:30:45
120,394,Cloud Cert,19,50,2019-01-23 22:49:05
121,1464,Leadership 101,29,15,2022-05-28 05:49:15
122,4981,AI Workshop,3,58,2024-05-15 10:31:47
123,1973,Cloud Cert,39,6,2024-04-10 11:32:23
124,2298,Leadership 101,12,79,2021-03-06 20:31:45
125,2874,Leadership 101,44,71,2024-11-17 13:58:13
126,3302,AI Workshop,26,46,2024-03-20 02:58:23
127,4565,Cloud Cert,39,91,2023-12-25 03:01:11
128,1891,Excel Bootcamp,31,10,2024-03-31 17:41:51
129,4588,AI Workshop,8,96,2024-08-21 11:44:29
130,4561,Cloud Cert,35,85,2021-04-21 15:25:22
131,1786,Cloud Cert,5,44,2021-05-21 15:07:27
132,2156,Leadership 101,27,37,2022-10-01 06:00:40
133,1086,Cloud Cert,26,54,2021-09-05 05:25:09
134,2105,Leadership 101,27,78,2019-02-15 17:36:30
135,959,Cloud Cert,13,39,2021-08-11 21:39:30
136,2180,Excel Bootcamp,23,60,2019-05-28 08:14:34
137,1102,AI Workshop,1,41,2022-09-04 12:14:25
138,4968,Cloud Cert,28,48,2021-04-20 18:41:01
139,3963,Leadership 101,15,78,2020-07-23 09:04:15
140,996,Leadership 101,13,2,2022-08-14 21:21:18
141,1186,Leadership 101,40,24,2018-09-26 10:06:22
142,1832,Leadership 101,5,10,2018-02-11 20:59:31
143,527,Leadership 101,39,42,2021-04-12 18:11:03
144,2867,Leadership 101,26,6,2023-09-09 23:33:26
145,1044,AI Workshop,47,3,2018-08-06 18:36:27
146,1685,Cloud Cert,7,62,2020-06-14 01:04:14
147,1240,AI Workshop,35,34,2018-11-09 12:21:21
148,2058,AI Workshop,49,90,2023-07-17 07:57:50
149,100,AI Workshop,22,74,2021-02-16 15:29:42
150,1417,Excel Bootcamp,9,38,2022-01-04 23:12:51
151,2774,Cloud Cert,1,54,2020-04-02 04:53:41
152,1962,AI Workshop,15,85,2018-09-09 11:50:47
153,101,Leadership 101,30,25,2021-05-15 21:15:04
154,3076,Cloud Cert,3,66,2020-07-13 23:07:40
155,4247,AI Workshop,6,36,2018-12-14 15:40:45
156,2090,AI Workshop,31,65,2018-08-04 15:51:39
157,4054,Excel Bootcamp,5,44,2022-07-22 02:58:59
158,962,Cloud Cert,4,36,2021-12-28 01:06:41
159,3701,Cloud Cert,25,44,2023-01-17 15:22:38
160,2964,Leadership 101,11,88,2022-09-12 16:11:57
161,3946,Leadership 101,43,74,2024-04-01 03:17:37
162,3608,Cloud Cert,14,35,2023-12-07 11:18:58
163,3308,Leadership 101,25,60,2018-06-17 20:53:18
164,4220,Leadership 101,49,86,2018-09-10 23:08:00
165,2561,AI Workshop,27,47,2018-12-08 19:08:28
166,1419,Leadership 101,29,98,2023-11-13 15:12:22
167,2719,Excel Bootcamp,41,96,2018-05-09 22:40:21
168,4626,AI Workshop,1,16,2023-12-20 01:56:00
169,186,Leadership 101,46,94,2022-09-05 02:42:38
170,4599,AI Workshop,5,36,2024-03-01 01:32:12
171,2833,Leadership 101,21,59,2024-04-16 10:12:40
172,4208,Leadership 101,40,61,2018-02-25 22:04:15
173,3084,Leadership 101,37,95,2018-07-06 10:22:22
174,3410,AI Workshop,34,94,2024-03-18 15:51:33
175,2028,Cloud Cert,2,69,2024-05-17 13:48:20
176,2452,Leadership 101,45,88,2022-06-17 22:37:45
177,2566,Excel Bootcamp,18,46,2020-11-19 21:45:56
178,352,Leadership 101,15,91,2024-12-14 02:50:41
179,1994,Cloud Cert,46,14,2019-01-11 17:16:10
180,1148,AI Workshop,33,77,2018-07-24 11:14:11
181,4973,Leadership 101,11,20,2024-09-06 02:07:46
182,2921,Excel Bootcamp,29,28,2024-07-22 14:39:40
183,2575,AI Workshop,29,6,2018-12-16 09:07:43
184,2911,Leadership 101,8,73,2020-02-25 17:58:44
185,3480,AI Workshop,1,22,2018-05-09 10:15:55
186,4381,AI Workshop,30,87,2020-05-15 00:19:01
187,1874,Cloud Cert,43,8,2024-04-01 14:45:29
188,1492,AI Workshop,10,1,2022-10-20 19:37:21
189,4189,Leadership 101,6,71,2023-06-08 05:19:18
190,4645,Cloud Cert,45,61,2023-11-26 20:20:39
191,1728,Cloud Cert,1,61,2020-01-01 23:11:52
192,2143,AI Workshop,9,76,2024-03-03 04:43:27
193,4499,AI Workshop,43,39,2019-07-18 04:41:39
194,759,Leadership 101,16,81,2022-09-25 06:52:31
195,355,Excel Bootcamp,3,50,2021-06-17 02:43:13
196,567,Cloud Cert,42,80,2024-07-15 12:08:07
197,4903,Cloud Cert,2,68,2023-04-24 21:10:07
198,98,Cloud Cert,8,9,2022-06-10 04:04:04
199,3155,AI Workshop,30,9,2022-08-22 10:31:33
200,322,Excel Bootcamp,18,91,2019-06-19 10:05:42
201,2946,Leadership 101,3,76,2019-06-01 14:57:01
202,2446,Leadership 101,6,34,2019-04-11 20:05:55
203,690,Cloud Cert,45,23,2023-12-03 15:04:52
204,3618,AI Workshop,46,99,2022-06-26 14:43:36
205,3319,Excel Bootcamp,13,9,2024-06-09 00:32:53
206,4006,Leadership 101,15,77,2021-03-12 23:56:55
207,4316,Leadership 101,22,50,2023-05-02 00:42:27
208,2710,AI Workshop,19,58,2022-09-19 10:37:01
209,4906,Leadership 101,44,43,2020-08-23 02:12:19
210,1505,Cloud Cert,8,2,2021-04-19 08:08:13
211,742,AI Workshop,14,66,2021-02-11 07:33:46
212,1268,Cloud Cert,23,29,2022-04-02 11:13:22
213,3039,Cloud Cert,25,45,2018-05-23 18:24:29
214,441,Excel Bootcamp,33,57,2023-04-13 20:11:07
215,2766,AI Workshop,1,22,2023-05-03 17:50:18
216,1289,Leadership 101,1,43,2022-12-11 19:04:28
217,1791,Cloud Cert,17,85,2023-02-21 20:07:25
218,4952,Excel Bootcamp,18,59,2024-08-18 22:11:55
219,2077,Leadership 101,25,6,2022-10-19 05:34:58
220,965,Leadership 101,15,57,2021-10-01 12:53:04
221,426,Leadership 101,27,28,2023-09-03 03:44:27
222,828,Leadership 101,30,80,2024-01-23 16:39:46
223,2471,Excel Bootcamp,9,1,2018-06-26 14:57:41
224,2504,Excel Bootcamp,25,23,2019-09-12 20:04:38
225,3710,Leadership 101,34,8,2023-07-31 05:23:30
226,1868,AI Workshop,40,61,2023-03-22 00:26:32
227,4202,Excel Bootcamp,40,72,2018-06-13 12:14:04
228,4245,Leadership 101,47,1,2021-08-18 04:39:21
229,1327,Excel Bootcamp,11,11,2018-07-31 20:09:01
230,4873,Excel Bootcamp,15,8,2022-05-11 17:55:52
231,4993,Leadership 101,29,51,2024-06-19 18:41:53
232,2871,Cloud Cert,30,31,2022-03-13 01:53:32
233,91,AI Workshop,11,36,2022-01-07 00:30:34
234,395,Excel Bootcamp,1,72,2021-12-10 02:10:57
235,4540,Leadership 101,17,88,2021-05-13 18:47:13
236,2079,Leadership 101,11,91,2023-04-15 17:21:50
237,984,Cloud Cert,29,29,2024-05-19 02:00:37
238,3902,Excel Bootcamp,46,82,2024-09-09 00:32:55
239,899,AI Workshop,12,73,2020-03-22 00:49:32
240,954,AI Workshop,30,36,2018-01-13 12:43:19
241,3140,Cloud Cert,44,38,2018-09-09 13:54:59
242,1091,AI Workshop,27,78,2023-10-20 16:58:23
243,3652,AI Workshop,36,13,2023-05-02 03:54:29
244,186,Leadership 101,15,40,2024-09-11 15:15:13
245,2574,Cloud Cert,9,52,2022-02-16 21:20:58
246,138,Excel Bootcamp,31,24,2024-10-02 02:50:20
247,1486,Cloud Cert,25,61,2023-09-24 16:32:38
248,2001,AI Workshop,15,78,2024-06-17 14:02:26
249,703,Leadership 101,34,72,2024-07-18 23:11:26
250,573,Excel Bootcamp,16,12,2018-01-12 19:03:58
251,174,AI Workshop,23,52,2019-04-04 03:41:31
252,293,Leadership 101,33,95,2019-05-05 13:27:59
253,789,AI Workshop,29,98,2019-07-11 13:18:40
254,4057,AI Workshop,32,85,2021-01-23 08:14:40
255,3459,Cloud Cert,32,4,2024-09-14 14:26:57
256,1427,AI Workshop,16,11,2018-09-13 08:06:17
257,207,Excel Bootcamp,15,56,2023-06-16 18:18:42
258,2302,AI Workshop,21,7,2024-04-27 02:40:55
259,2840,Cloud Cert,28,55,2023-12-07 17:31:32
260,4520,Leadership 101,14,76,2020-03-18 14:02:41
261,1159,AI Workshop,21,63,2024-03-04 13:34:47
262,2606,AI Workshop,24,5,2023-11-17 20:39:08
263,2418,Cloud Cert,35,3,2020-05-26 02:28:28
264,126,Leadership 101,38,96,2019-04-11 01:18:20
265,1423,AI Workshop,43,64,2018-01-05 18:28:14
266,3564,AI Workshop,7,99,2018-03-18 14:44:02
267,725,Excel Bootcamp,31,12,2024-04-18 09:05:09
268,3146,Cloud Cert,22,94,2020-05-19 04:27:21
269,87,Leadership 101,25,33,2021-03-09 19:39:51
270,3589,AI Workshop,46,40,2020-08-01 15:43:49
271,3771,Cloud Cert,42,41,2021-01-06 11:43:05
272,2758,Cloud Cert,4,3,2019-01-23 13:18:29
273,4124,Cloud Cert,33,26,2023-02-02 18:53:43
274,4115,Leadership 101,36,38,2022-04-02 22:28:13
275,3248,Cloud Cert,26,34,2019-03-20 13:55:12
276,4303,AI Workshop,29,67,2022-07-06 11:25:53
277,928,AI Workshop,47,78,2021-02-02 03:49:19
278,662,Leadership 101,6,14,2019-04-24 13:26:58
279,4398,AI Workshop,19,81,2024-01-03 07:47:02
280,2771,Leadership 101,25,79,2024-01-15 06:29:20
281,2559,AI Workshop,10,12,2024-07-31 07:24:51
282,653,Cloud Cert,36,39,2024-08-14 10:31:30
283,2326,AI Workshop,48,94,2019-09-01 19:21:59
284,4078,Cloud Cert,43,62,2018-09-01 18:39:59
285,366,Leadership 101,10,49,2020-12-19 18:49:52
286,2553,Excel Bootcamp,16,59,2021-04-01 07:30:32
287,4542,Cloud Cert,15,51,2019-10-06 10:37:07
288,1096,Cloud Cert,49,71,2022-12-11 14:07:34
289,456,Excel Bootcamp,34,35,2019-06-04 15:42:35
290,2161,Excel Bootcamp,46,51,2024-03-22 00:15:49
291,3767,AI Workshop,40,31,2018-04-13 14:48:18
292,4529,Leadership 101,15,40,2020-04-28 04:59:09
293,4327,AI Workshop,1,37,2019-07-12 16:01:10
294,2610,Leadership 101,6,14,2018-06-06 12:44:10
295,2282,Excel Bootcamp,19,58,2018-08-06 14:35:05
296,2618,Cloud Cert,43,28,2019-04-14 18:53:23
297,3681,Leadership 101,6,12,2023-02-26 23:53:25
298,3760,Leadership 101,4,70,2024-09-17 14:08:41
299,1888,Leadership 101,10,68,2019-06-21 19:57:43
300,72,Excel Bootcamp,43,97,2023-11-02 00:21:42
301,2912,Excel Bootcamp,40,56,2020-06-17 18:48:34
302,2956,AI Workshop,9,5,2021-04-01 11:52:17
303,26,Cloud Cert,1,9,2023-04-27 16:58:33
304,874,Cloud Cert,17,62,2020-08-07 16:24:11
305,2018,AI Workshop,41,82,2020-11-04 22:28:04
306,3643,Leadership 101,28,96,2018-12-26 15:50:39
307,2900,Excel Bootcamp,49,95,2019-04-15 03:01:14
308,2420,Cloud Cert,12,34,2020-01-15 21:21:35
309,917,Cloud Cert,46,40,2022-05-17 01:53:13
310,3513,Cloud Cert,41,91,2023-10-26 15:31:22
311,3555,Leadership 101,39,39,2020-07-26 09:26:16
312,3318,AI Workshop,16,13,2020-07-03 06:08:15
313,1578,AI Workshop,14,4,2023-09-06 19:31:55
314,2366,Cloud Cert,6,9,2018-03-05 05:13:37
315,4843,Leadership 101,47,72,2023-07-09 21:20:28
316,4126,Excel Bootcamp,30,6,2023-08-13 14:44:59
317,61,Cloud Cert,45,33,2023-01-14 09:22:29
318,1828,AI Workshop,26,70,2019-10-14 17:45:46
319,567,Leadership 101,20,48,2021-12-18 00:13:22
320,2308,AI Workshop,5,81,2018-12-03 00:48:31
321,2831,Cloud Cert,15,37,2023-11-04 15:40:20
322,1223,Excel Bootcamp,31,77,2022-02-17 19:43:42
323,4192,AI Workshop,18,22,2020-04-17 09:58:23
324,3681,Leadership 101,13,50,2020-02-25 22:24:04
325,1849,Excel Bootcamp,43,19,2022-12-03 18:47:54
326,845,Leadership 101,11,28,2018-06-12 05:08:02
327,3240,Leadership 101,44,64,2023-05-17 14:20:59
328,2790,AI Workshop,12,58,2018-09-20 16:06:31
329,70,Leadership 101,19,25,2021-11-27 22:26:10
330,2555,AI Workshop,19,72,2021-12-19 00:37:51
331,1074,Leadership 101,1,58,2018-11-23 05:16:05
332,2806,AI Workshop,14,32,2024-11-10 20:10:38
333,1495,AI Workshop,17,47,2021-09-17 19:06:03
334,1432,Excel Bootcamp,2,75,2023-06-05 12:02:33
335,4616,AI Workshop,39,38,2023-08-18 06:48:12
336,4537,Leadership 101,38,18,2018-10-11 06:45:40
337,4038,AI Workshop,21,27,2021-04-18 20:21:30
338,1954,Excel Bootcamp,20,37,2020-02-01 10:42:34
339,3090,Leadership 101,23,42,2024-10-12 21:47:22
340,1097,Excel Bootcamp,30,36,2019-08-01 10:29:26
341,2017,Cloud Cert,1,34,2018-11-28 08:18:50
342,3598,Leadership 101,6,15,2023-09-24 07:29:12
343,1127,Cloud Cert,15,61,2019-12-14 14:18:22
344,2266,Leadership 101,17,77,2022-06-08 22:14:07
345,1828,Cloud Cert,36,27,2020-04-30 04:39:22
346,1060,AI Workshop,26,19,2020-05-29 05:45:05
347,1227,Cloud Cert,2,77,2023-11-08 22:11:06
348,658,Excel Bootcamp,48,7,2018-09-22 06:37:30
349,2063,Excel Bootcamp,45,61,2022-10-05 19:59:21
350,768,Cloud Cert,11,1,2018-06-13 11:34:29
351,3038,AI Workshop,43,21,2023-03-06 20:38:35
352,4368,Cloud Cert,48,16,2018-03-24 11:41:45
353,2124,Leadership 101,10,49,2024-01-19 05:30:36
354,14,Leadership 101,4,29,2023-03-30 00:08:25
355,1718,Cloud Cert,19,88,2021-12-13 22:31:00
356,58,Cloud Cert,26,83,2019-09-26 04:03:04
357,1022,Leadership 101,39,91,2018-11-19 10:02:25
358,4580,Leadership 101,18,47,2018-09-15 09:55:55
359,3374,Cloud Cert,44,1,2018-03-20 16:55:03
360,3600,AI Workshop,22,91,2022-01-01 23:40:46
361,3201,AI Workshop,42,14,2023-09-19 17:59:18
362,2729,Leadership 101,29,75,2021-12-12 01:27:28
363,1757,Excel Bootcamp,15,87,2023-04-21 05:12:02
364,795,AI Workshop,44,47,2021-03-21 08:09:39
365,2110,Cloud Cert,33,60,2018-12-18 19:14:47
366,55,Leadership 101,42,84,2024-08-09 09:38:57
367,307,AI Workshop,11,26,2018-06-05 21:27:29
368,629,AI Workshop,20,18,2023-11-29 23:58:03
369,1880,AI Workshop,27,36,2024-06-24 23:17:06
370,4297,Excel Bootcamp,15,94,2024-08-24 09:41:27
371,4193,Leadership 101,3,53,2018-08-26 00:06:18
372,2466,Cloud Cert,16,68,2022-12-09 03:25:28
373,4846,Cloud Cert,28,83,2024-01-14 03:23:39
374,411,Leadership 101,48,62,2020-12-12 04:48:30
375,613,Excel Bootcamp,42,69,2018-12-14 22:01:56
376,609,AI Workshop,15,66,2024-12-10 05:25:50
377,2342,Excel Bootcamp,40,10,2021-12-06 16:49:35
378,4899,Cloud Cert,26,58,2020-02-16 04:35:31
379,1300,AI Workshop,34,49,2024-12-21 03:41:34
380,2329,Cloud Cert,36,55,2022-01-16 05:51:14
381,4701,Cloud Cert,27,43,2019-10-19 23:05:18
382,1971,Cloud Cert,14,75,2024-01-16 15:38:05
383,194,Excel Bootcamp,3,51,2022-05-07 04:49:12
384,2605,AI Workshop,3,22,2018-03-26 21:25:39
385,1798,AI Workshop,23,43,2023-02-01 23:57:35
386,698,Excel Bootcamp,5,8,2019-09-08 03:44:29
387,3913,AI Workshop,2,3,2024-04-05 12:00:46
388,4139,AI Workshop,38,41,2023-12-11 01:08:44
389,1808,AI Workshop,36,53,2020-11-15 05:54:59
390,14,Excel Bootcamp,2,40,2024-04-04 23:35:14
391,4115,Leadership 101,15,58,2024-03-05 16:21:49
392,4147,Cloud Cert,2,18,2024-03-13 22:30:06
393,3464,Cloud Cert,36,50,2024-10-14 07:12:03
394,2352,Excel Bootcamp,28,86,2019-09-13 21:57:05
395,4387,Leadership 101,14,11,2019-06-18 19:05:17
396,1222,Cloud Cert,12,66,2020-03-31 06:50:34
397,4451,Leadership 101,30,22,2022-03-13 14:30:54
398,4363,Leadership 101,35,63,2022-04-12 11:38:17
399,924,Excel Bootcamp,8,79,2024-05-04 20:57:36
400,1608,Leadership 101,32,8,2020-11-21 23:09:06
401,4185,Cloud Cert,20,83,2023-05-30 15:34:38
402,1978,Leadership 101,42,73,2018-01-07 17:12:34
403,1562,Cloud Cert,15,69,2021-03-23 04:49:26
404,4012,AI Workshop,14,72,2022-01-19 06:07:38
405,1807,Excel Bootcamp,26,97,2021-05-29 19:04:20
406,1849,AI Workshop,25,15,2022-11-17 07:22:45
407,1997,Leadership 101,19,15,2022-08-02 19:13:33
408,2539,Leadership 101,20,7,2022-04-19 15:40:46
409,1665,Excel Bootcamp,26,85,2024-03-18 22:23:36
410,139,AI Workshop,32,26,2018-06-16 10:51:28
411,4372,AI Workshop,23,65,2019-07-01 16:10:20
412,1567,AI Workshop,14,51,2024-03-12 07:18:06
413,3820,Excel Bootcamp,22,90,2022-07-10 19:20:17
414,611,Leadership 101,30,26,2018-03-20 15:54:56
415,3239,AI Workshop,28,92,2022-08-30 09:53:12
416,4543,Leadership 101,38,9,2023-11-21 11:30:09
417,4451,Leadership 101,40,26,2019-08-25 18:02:25
418,2844,Leadership 101,30,77,2019-04-07 17:47:32
419,947,Excel Bootcamp,3,5,2018-06-16 01:05:44
420,1140,Cloud Cert,35,18,2023-10-25 18:10:06
421,1001,Excel Bootcamp,4,53,2019-12-09 00:03:40
422,3137,Leadership 101,39,23,2020-11-06 10:20:34
423,1232,Excel Bootcamp,34,92,2020-05-18 10:04:29
424,109,AI Workshop,45,69,2021-08-23 05:08:47
425,1804,AI Workshop,11,61,2024-07-15 19:48:07
426,2204,Excel Bootcamp,13,91,2020-07-05 05:50:49
427,3840,Leadership 101,2,84,2018-08-22 01:23:12
428,1013,Cloud Cert,36,34,2024-08-31 20:43:09
429,584,Cloud Cert,30,78,2020-08-05 05:19:23
430,1759,Leadership 101,16,47,2022-07-05 07:15:08
431,2809,Cloud Cert,32,70,2018-03-13 09:16:09
432,1134,Leadership 101,15,27,2019-11-21 20:57:53
433,4126,Excel Bootcamp,23,2,2021-05-24 19:39:35
434,3063,AI Workshop,47,9,2019-10-17 17:58:00
435,1443,Excel Bootcamp,35,75,2024-02-25 05:43:15
436,4454,Cloud Cert,45,54,2022-06-26 23:09:35
437,4693,Leadership 101,17,5,2023-11-07 06:06:10
438,1405,Cloud Cert,18,75,2023-05-06 17:41:54
439,776,Cloud Cert,32,3,2022-06-24 14:55:03
440,731,Cloud Cert,16,90,2019-04-30 17:12:19
441,289,Excel Bootcamp,1,14,2024-10-10 08:18:56
442,1100,Excel Bootcamp,14,9,2020-03-16 06:31:54
443,299,AI Workshop,2,83,2023-11-07 11:08:25
444,1581,Excel Bootcamp,6,81,2023-01-23 23:17:27
445,746,AI Workshop,26,49,2022-04-22 06:18:33
446,4022,Cloud Cert,44,58,2023-09-29 11:01:03
447,3559,AI Workshop,8,88,2019-02-16 02:52:15
448,4211,AI Workshop,24,78,2023-03-10 21:44:50
449,3975,Excel Bootcamp,39,10,2019-09-23 07:22:05
450,164,Excel Bootcamp,43,7,2021-08-21 20:46:51
451,2841,Cloud Cert,31,13,2023-11-23 04:58:11
452,2261,Excel Bootcamp,21,35,2019-05-09 21:52:09
453,293,Excel Bootcamp,20,61,2024-11-03 20:49:03
454,396,Excel Bootcamp,2,95,2023-03-18 10:59:47
455,1969,Cloud Cert,43,38,2019-05-28 05:11:30
456,2470,Excel Bootcamp,40,37,2020-09-23 10:37:09
457,1592,Cloud Cert,20,93,2024-07-21 10:58:58
458,3152,Leadership 101,49,70,2020-11-22 09:17:14
459,1985,AI Workshop,22,8,2024-06-25 11:38:41
460,1405,Leadership 101,13,89,2020-08-06 22:35:51
461,440,Leadership 101,20,69,2022-05-07 16:00:42
462,4393,Leadership 101,44,74,2018-10-13 12:01:26
463,1475,AI Workshop,31,23,2021-12-16 02:44:54
464,4597,Excel Bootcamp,23,1,2020-06-07 17:45:09
465,524,Cloud Cert,26,13,2024-05-26 04:15:36
466,97,Excel Bootcamp,43,26,2020-01-25 19:31:47
467,2993,AI Workshop,30,83,2021-06-21 19:58:44
468,2034,Cloud Cert,45,90,2018-06-28 14:23:59
469,1645,Leadership 101,9,60,2021-10-26 11:24:14
470,2707,Leadership 101,39,50,2023-04-30 20:38:16
